cites_first_order_id,id,doi,title,publication_date,type,cited_by_api_url,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name
https://openalex.org/W2931144334,https://openalex.org/W4392859217,https://doi.org/10.1016/j.jnlssr.2024.02.002,AI for science: Predicting infectious diseases,2024-03-15,article,https://api.openalex.org/works?filter=cites:W4392859217,COVID-19 epidemiological studies,Modeling and Simulation,Physical Sciences,COVID-19 epidemiological studies; Zoonotic diseases and public health; Data-Driven Disease Surveillance,Mathematics; Medicine; Medicine,Physical Sciences; Health Sciences; Health Sciences,Transformative Learning; Adaptability; Citizen Science,Infectious disease (medical specialty); Transformative learning; Data science; Computer science; Adaptability; Disease; Citizen science; Artificial intelligence; Risk analysis (engineering); Management science; Medicine; Biology; Sociology; Engineering; Ecology; Pedagogy; Botany; Pathology,,
https://openalex.org/W2931144334,https://openalex.org/W4400132759,https://doi.org/10.1016/j.biomaterials.2024.122690,Intrinsic antimicrobial resistance: Molecular biomaterials to combat microbial biofilms and bacterial persisters,2024-06-28,review,https://api.openalex.org/works?filter=cites:W4400132759,Antimicrobial Peptides and Activities,Microbiology,Life Sciences,Antimicrobial Peptides and Activities; Bacterial biofilms and quorum sensing; Antimicrobial agents and applications,"Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology; Chemistry",Life Sciences; Life Sciences; Physical Sciences,Multidrug tolerance,Biofilm; Antimicrobial; Antibiotic resistance; Antibiotics; Multidrug tolerance; Microbiology; Drug resistance; Nanotechnology; Materials science; Biology; Bacteria; Genetics,"Animals; Anti-Bacterial Agents; Bacteria; Bacterial Infections; Biocompatible Materials; Biofilms; Drug Resistance, Bacterial; Humans",None; pharmacology; drug effects; drug therapy; chemistry; drug effects; drug effects; None
https://openalex.org/W2931144334,https://openalex.org/W4391943162,https://doi.org/10.1039/d4lc00117f,Microfluidic systems for infectious disease diagnostics,2024-01-01,article,https://api.openalex.org/works?filter=cites:W4391943162,Biosensors and Analytical Detection,Biomedical Engineering,Physical Sciences,Biosensors and Analytical Detection; Microfluidic and Capillary Electrophoresis Applications; SARS-CoV-2 detection and testing,Engineering; Engineering; Medicine,Physical Sciences; Physical Sciences; Health Sciences,Molecular diagnostics; Human disease; Human pathogen,Microfluidics; Infectious disease (medical specialty); Pathogen; Nanotechnology; Molecular diagnostics; Transmission (telecommunications); Human disease; Human pathogen; Disease; Engineering; Virology; Computer science; Computational biology; Biology; Medicine; Microbiology; Bioinformatics; Materials science; Telecommunications; Pathology; Genetics; Bacteria,Communicable Diseases; Ecosystem; Humans; Microfluidics; Point-of-Care Systems; Viruses,diagnosis; None; None; None; None; None
https://openalex.org/W2931144334,https://openalex.org/W4406160664,https://doi.org/10.1016/j.heliyon.2025.e41654,A Mechanistic Overview on Green Assisted Formulation of Nanocomposites and Their Multifunctional Role in Biomedical Applications,2025-01-08,review,https://api.openalex.org/works?filter=cites:W4406160664,Nanoparticles: synthesis and applications,Materials Chemistry,Physical Sciences,Nanoparticles: synthesis and applications; Chemistry and Chemical Engineering; Graphene and Nanomaterials Applications,Materials Science; Environmental Science; Engineering,Physical Sciences; Physical Sciences; Physical Sciences,,Nanotechnology; Engineering ethics; Engineering; Biochemical engineering; Materials science,,
https://openalex.org/W2931144334,https://openalex.org/W4406024102,https://doi.org/10.1038/s41598-024-76446-2,Synthesis and characterization of innovative GA@Ag-CuO nanocomposite with potent antimicrobial and anticancer properties,2025-01-03,article,https://api.openalex.org/works?filter=cites:W4406024102,Nanoparticles: synthesis and applications,Materials Chemistry,Physical Sciences,Nanoparticles: synthesis and applications; Laser-Ablation Synthesis of Nanoparticles; Graphene and Nanomaterials Applications,Materials Science; Engineering; Engineering,Physical Sciences; Physical Sciences; Physical Sciences,,Nanocomposite; Antimicrobial; Nuclear chemistry; Materials science; Corpus albicans; Minimum inhibitory concentration; Antifungal; Chemistry; Nanotechnology; Microbiology; Biology; Organic chemistry,,
https://openalex.org/W2931144334,https://openalex.org/W3007933225,https://doi.org/10.3390/pathogens9020148,Emergence of Novel Coronavirus 2019-nCoV: Need for Rapid Vaccine and Biologics Development,2020-02-22,review,https://api.openalex.org/works?filter=cites:W3007933225,SARS-CoV-2 and COVID-19 Research,Infectious Diseases,Health Sciences,SARS-CoV-2 and COVID-19 Research; Transgenic Plants and Applications; Viral gastroenteritis research and epidemiology,"Medicine; Biochemistry, Genetics and Molecular Biology; Medicine",Health Sciences; Life Sciences; Health Sciences,2019-20 coronavirus outbreak; Coronavirus,Coronavirus disease 2019 (COVID-19); Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); Virology; 2019-20 coronavirus outbreak; Coronavirus; Medicine; Internal medicine; Outbreak; Infectious disease (medical specialty); Disease,,
https://openalex.org/W2931144334,https://openalex.org/W3080381497,https://doi.org/10.1016/j.ijhm.2020.102660,Understanding the impact of COVID-19 intervention policies on the hospitality labor market,2020-08-28,article,https://api.openalex.org/works?filter=cites:W3080381497,COVID-19 Pandemic Impacts,Economics and Econometrics,Social Sciences,COVID-19 Pandemic Impacts; Diverse Aspects of Tourism Research; COVID-19 epidemiological studies,"Economics, Econometrics and Finance; Social Sciences; Mathematics",Social Sciences; Social Sciences; Physical Sciences,Hospitality; Closure (psychology); Sample (material); Pandemic,Hospitality; Hospitality industry; Closure (psychology); Coronavirus disease 2019 (COVID-19); Business; Sample (material); State (computer science); Intervention (counseling); Pandemic; Labour economics; Economic impact analysis; Economics; Marketing; Tourism; Market economy; Political science; Medicine; Psychology; Disease; Pathology; Psychiatry; Infectious disease (medical specialty); Law; Chemistry; Chromatography; Algorithm; Computer science; Microeconomics,,
https://openalex.org/W2931144334,https://openalex.org/W3093466292,https://doi.org/10.1038/s41598-020-74904-1,Rapid production of SARS-CoV-2 receptor binding domain (RBD) and spike specific monoclonal antibody CR3022 in Nicotiana benthamiana,2020-10-19,article,https://api.openalex.org/works?filter=cites:W3093466292,Transgenic Plants and Applications,Biotechnology,Life Sciences,Transgenic Plants and Applications; Plant tissue culture and regeneration; Microbial Inactivation Methods,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Coronavirus,Nicotiana benthamiana; Monoclonal antibody; Virology; Antibody; Biology; Coronavirus; Infectious disease (medical specialty); Coronavirus disease 2019 (COVID-19); Virus; Immunology; Medicine; Disease; Pathology,"Antibodies, Monoclonal; Antibodies, Viral; Betacoronavirus; Nicotiana; Angiotensin-Converting Enzyme 2; Animals; Antibodies, Monoclonal; Antibodies, Monoclonal; Antibodies, Monoclonal; Antibodies, Viral; Antibodies, Viral; Antibodies, Viral; Betacoronavirus; COVID-19; Chlorocebus aethiops; Coronavirus Infections; Coronavirus Infections; Coronavirus Infections; Humans; Neutralization Tests; Nicotiana; Pandemics; Peptidyl-Dipeptidase A; Peptidyl-Dipeptidase A; Peptidyl-Dipeptidase A; Plant Leaves; Plant Leaves; Pneumonia, Viral; Pneumonia, Viral; Pneumonia, Viral; Protein Binding; Protein Domains; Protein Domains; Recombinant Proteins; Recombinant Proteins; Recombinant Proteins; Recombinant Proteins; SARS-CoV-2; Spike Glycoprotein, Coronavirus; Spike Glycoprotein, Coronavirus; Spike Glycoprotein, Coronavirus; Spike Glycoprotein, Coronavirus; Spike Glycoprotein, Coronavirus; Vero Cells",metabolism; metabolism; metabolism; metabolism; None; None; None; genetics; immunology; None; genetics; immunology; None; None; None; None; pathology; virology; None; None; None; None; None; chemistry; metabolism; None; metabolism; None; pathology; virology; None; None; immunology; biosynthesis; immunology; isolation & purification; None; None; chemistry; genetics; immunology; metabolism; None; None
https://openalex.org/W2931144334,https://openalex.org/W3083287531,https://doi.org/10.3389/fimmu.2020.02130,Viral Emerging Diseases: Challenges in Developing Vaccination Strategies,2020-09-03,review,https://api.openalex.org/works?filter=cites:W3083287531,Viral Infections and Outbreaks Research,Infectious Diseases,Health Sciences,Viral Infections and Outbreaks Research; Viral Infections and Vectors; COVID-19 epidemiological studies,Medicine; Medicine; Mathematics,Health Sciences; Health Sciences; Physical Sciences,Lassa fever; Emerging infectious disease; Pandemic; Global Health,Vaccination; Dengue fever; Lassa fever; Chikungunya; Emerging infectious disease; Middle East respiratory syndrome; Medicine; Pandemic; Global health; Outbreak; Yellow fever; Infectious disease (medical specialty); Public health; Disease; Virology; Environmental health; Immunology; Coronavirus disease 2019 (COVID-19); Virus; Nursing; Pathology,"Betacoronavirus; Communicable Diseases, Emerging; Communicable Diseases, Emerging; Coronavirus Infections; Pandemics; Pneumonia, Viral; Vaccination; Viral Vaccines; Animals; Antibody-Dependent Enhancement; Antibody-Dependent Enhancement; Betacoronavirus; COVID-19; COVID-19 Serotherapy; COVID-19 Vaccines; Communicable Diseases, Emerging; Coronavirus Infections; Coronavirus Infections; Coronavirus Infections; Coronavirus Infections; Cross Reactions; Cross Reactions; Humans; Immunization, Passive; Pandemics; Pneumonia, Viral; Pneumonia, Viral; Pneumonia, Viral; SARS-CoV-2; Vaccines, Attenuated; Vaccines, Attenuated; Vaccines, DNA; Vaccines, DNA; Vaccines, Inactivated; Vaccines, Inactivated; Vaccines, Subunit; Vaccines, Subunit; Viral Vaccines",immunology; prevention & control; virology; prevention & control; prevention & control; prevention & control; None; immunology; None; None; immunology; None; None; None; None; None; None; immunology; virology; therapy; immunology; None; None; None; None; therapy; virology; None; None; immunology; None; immunology; None; immunology; None; immunology; None; None
https://openalex.org/W2931144334,https://openalex.org/W3112434525,https://doi.org/10.3390/ijerph17249411,"Viral Pandemics of the Last Four Decades: Pathophysiology, Health Impacts and Perspectives",2020-12-15,review,https://api.openalex.org/works?filter=cites:W3112434525,COVID-19 Clinical Research Studies,Infectious Diseases,Health Sciences,COVID-19 Clinical Research Studies; SARS-CoV-2 and COVID-19 Research; COVID-19 epidemiological studies,Medicine; Medicine; Mathematics,Health Sciences; Health Sciences; Physical Sciences,Pandemic; 2019-20 coronavirus outbreak,Pandemic; Coronavirus disease 2019 (COVID-19); 2019-20 coronavirus outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); Virology; Medicine; Environmental health; Geography; Disease; Outbreak; Infectious disease (medical specialty); Pathology,"Pandemics; Virus Diseases; COVID-19; Comorbidity; Ebolavirus; Female; HIV; History, 20th Century; History, 21st Century; Humans; Influenza A Virus, H1N1 Subtype; Male; Middle East Respiratory Syndrome Coronavirus; Pandemics; Public Health; SARS-CoV-2; Severe acute respiratory syndrome-related coronavirus; Virus Diseases; Virus Diseases",history; epidemiology; None; None; None; None; None; None; None; None; None; None; None; None; None; None; None; None; physiopathology
