unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,core_doi
10.2759/523404,The effective and ethical development of artificial intelligence: An opportunity to improve our wellbeing,Publication,2019-07-04,https://acola.org/hs4-artificial-intelligence-australia/,,"Artificial general intelligence, Automation, Cyberwarfare",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>computing and information technology, science and technology, conflicts, war and peace, economy, business and finance>economic sector>computing and information technology>software, conflicts, war and peace>armed conflict",10.1371/journal.pone.0188453
undrr-7700aa7a805c9349de6cda8e81656edc,Bio-hazard disaster risk governance through multi-agency cooperation,Publication,2019-06-19,https://www.undrr.org/publication/bio-hazard-disaster-risk-governance-through-multi-agency-cooperation,,"Infection, Disaster risk reduction, Bioterrorism",eng,"disaster, accident and emergency incident, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, health, disaster, accident and emergency incident>disaster, science and technology, science and technology>natural science>biology, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.1371/journal.pone.0188453
unitednations-322464fe5320475f4d41dd50f867d7bd,The new geopolitics of converging risks :the UN and prevention in the era of AI /,Publication,2019-04-29,https://digitallibrary.un.org/record/4076270?ln=en,"ARTIFICIAL INTELLIGENCE, DATA PROTECTION, DUAL-USE TECHNOLOGY, MILITARY TECHNOLOGY, PROPAGANDA","Social media, Deepfake, Deep learning",eng,"crime, law and justice, crime, law and justice>crime, economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>computing and information technology, science and technology, science and technology>natural science>biology, crime, law and justice>crime>computer crime",10.1371/journal.pone.0188453
10.2903/sp.efsa.2020.en-1664,Synthetic Biology in Australia: An outlook to 2030,Publication,2018-08-19,https://acola.org/hs3-synthetic-biology-australia/,,"Synthetic biology, Artemisinin, DNA sequencing",eng,"science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology",10.1371/journal.pone.0188453
committee_house-f310e302457c8e8dfa1e487ed999bc76,Examining the Reauthorization of the Pandemic and All-Hazards Preparedness Act,Publication,2018-06-06,https://www.congress.gov/event/115th-congress/house-event/108389,"115th Congress (2017-2018), House Energy and Commerce","Project Bioshield Act, Biomedical Advanced Research and Development Authority, Smallpox",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",10.1371/journal.pone.0188453
10.2795/1521,Member States’ Preparedness for CBRN Threats,Publication,2018-05-07,https://www.europarl.europa.eu/thinktank/en/document/IPOL_STU(2018)604960,,"Chemical warfare, CBRN defense, Biosecurity",eng,"conflicts, war and peace, crime, law and justice, science and technology>natural science, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, science and technology>natural science>biology, science and technology, conflicts, war and peace>act of terror, health>diseases and conditions>communicable disease, crime, law and justice>crime",10.1371/journal.pone.0188453
policyexchange-7603032a113e0f254e4a5070c6de68c8,Environmental Affairs – The Geopolitics of Climate Change,Publication,False,https://policyexchange.org.uk/publication/environmental-affairs-the-geopolitics-of-climate-change/,,"Low-carbon economy, Climate security, Renewable energy",eng,"environment>natural resources, disaster, accident and emergency incident, politics, disaster, accident and emergency incident>disaster, environment, environment>natural resources>water, conflicts, war and peace, conflicts, war and peace>armed conflict, politics>government",10.1371/journal.pone.0188453
10.2900/207223,Investigation protocol for potential human cases of avian influenza virus infection in the EU/EEA - Publications Office of the EU,Publication,2024-01-08,https://op.europa.eu/en/publication-detail/-/publication/3b4234a6-af6b-11ee-b164-01aa75ed71a1/language-en,,"COVID-19 testing, Influenza, Zanamivir",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health",10.1126/science.1213362
10.1787/0b55736e-en,"OECD Science, Technology and Innovation Outlook 2023",Publication,2023-03-16,https://dx.doi.org/https://doi.org/10.1787/0b55736e-en,,"COVID-19 vaccine, Clinical trial, Innovation",eng,"economy, business and finance, health, science and technology>natural science, economy, business and finance>economy, health>diseases and conditions, science and technology, science and technology>natural science>biology, education",10.1126/science.1213362
10.2903/j.efsa.2022.7415,Avian influenza overview March – June 2022,Publication,2022-06-30,https://www.efsa.europa.eu/en/efsajournal/pub/7415,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease",10.1126/science.1213362
10.2903/j.efsa.2022.7289,Avian influenza overview December 2021 – March 2022,Publication,2022-04-04,https://www.efsa.europa.eu/en/efsajournal/pub/7289,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics",10.1126/science.1213362
10.2903/j.efsa.2021.7108,Avian influenza overview September – December 2021,Scholarly article,2021-12-23,https://www.efsa.europa.eu/en/efsajournal/pub/7108,,"Avian influenza, Influenza, Influenza A virus subtype H5N1",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology>genetics",10.1126/science.1213362
10.2760/26856,Interferences between non-proliferation and science : ‘exporting’ dual-use know-how and technology in conformity with security imperatives.,Publication,2018-01-09,https://op.europa.eu/en/publication-detail/-/publication/7aa93b6b-f5bb-11e7-b8f5-01aa75ed71a1/language-en/format-PDF,,"Treaty on the Non-Proliferation of Nuclear Weapons, Nuclear proliferation, IAEA safeguards",eng,"economy, business and finance, health, science and technology, politics>international relations, politics, economy, business and finance>economy, science and technology>natural science, science and technology>social sciences",10.1126/science.1213362
10.2903/j.efsa.2016.4687,Urgent request on avian influenza,Publication,2017-01-30,https://www.efsa.europa.eu/en/efsajournal/pub/4687,,"Avian influenza, Influenza A virus subtype H5N1, Influenza A virus subtype H5N8",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, science and technology, health>diseases and conditions>communicable disease>virus disease",10.1126/science.1213362
10.2796/28465,"The ethics of research security and of security research : proceedings of the fifth meeting of the European Commission International Dialogue on Bioethics, Brussels, Belgium, 17 September 2013.",Publication,2014-10-14,https://op.europa.eu/en/publication-detail/-/publication/afb7e4cc-68bb-4067-a436-cc288c5dadc5/language-en/format-PDF,,"Combined DNA Index System, DNA profiling, Synthetic biology",eng,"crime, law and justice, crime, law and justice>judiciary, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, crime, law and justice>judiciary>court, crime, law and justice>crime",10.1126/science.1213362
governmentofisrael-d3fe52a7cecca2b4b3ed1098a83c51da,"Weekly Health Intelligence Summary, as of - 15.05.2025",Publication,2025-05-18,https://www.gov.il/he/pages/hi-weekly-15052025,,,heb,,10.1126/science.1213362
govuk-a835b221483ac563bc689f5c91d4a289,Influenza A (H5) in non-human mammals,Publication,2024-12-04,https://www.gov.uk/government/publications/influenza-a-h5-in-non-human-mammals,,"Influenza A virus subtype H5N1, Influenza, Avian influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology",10.1126/science.1213362
ecdc-3a1e4cd29e4ecd1a047de84eb958b9b9,Avian influenza overview September–December 2023,Publication,2023-12-14,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-september-december-2023,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology, science and technology>natural science>biology>genetics",10.1126/science.1213362
10.2900/864473,Investigation protocol of human cases of avian influenza virus infections in EU/EEA,Publication,2023-12-14,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-investigation-protocol-human-cases,,"Influenza, Zanamivir, Avian influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",10.1126/science.1213362
cset-f31757b077187b5dc43845d1a78b406c,Understanding the Global Gain-of-Function Research Landscape,Publication,2023-08-01,https://cset.georgetown.edu/publication/understanding-the-global-gain-of-function-research-landscape/,,"Gain-of-function research, Biosafety level, Virus",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.1126/science.1213362
parliamentofnetherlands-91241c8d82bb1c1491f17b0ce5e0bb7c,“Prevention of efficient transmission of zoonotic pathogens between livestock farms”,Publication,2023-03-29,https://www.staten-generaal.nl/9370000/1/j4nvgs5kjg27kof_j9vvkfvj6b325az/vm1ups1akbzw,,"Avian influenza, SARS-CoV-2, Zoonosis",dut,"science and technology>natural science, health>diseases and conditions, health, science and technology, science and technology>natural science>biology",10.1126/science.1213362
10.25646/12213.2,Avian influenza overview December 2022 – March 2023,Publication,2023-03-13,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-december-2022-march-2023,,"Influenza A virus subtype H5N1, Avian influenza, Influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health",10.1126/science.1213362
randcorporation-9528b18dddbae0028543790ac9330f60,Lessons Learned from the COVID-19 Outbreak,Publication,2022-11-01,https://www.rand.org/pubs/perspectives/PEA1481-2.html,"International Security and Defense Policy Center, RAND National Security Research Division","Gain-of-function research, Biosafety, Biosafety level",eng,"science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology",10.1126/science.1213362
10.2900/852604,Avian influenza overview March – June 2022,Publication,2022-06-30,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-march-june-2022,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology>genetics, science and technology>natural science>biology",10.1126/science.1213362
ecdc-5632edefffa59df2eeafc8b3ec4e817b,Avian influenza overview December 2021–March 2022,Publication,2022-03-31,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-december-2021-march-2022,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, health>diseases and conditions, science and technology>natural science>biology>genetics, health",10.1126/science.1213362
10.2900/207223,Avian influenza overview September – December 2021,Scholarly article,2021-12-22,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-september-december-2021,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology>genetics, health",10.1126/science.1213362
govuk-0fee75b5b0a58aa2f9dbd604f23b5b8a,Future threats or opportunities: Dstl student essay competition,Publication,2021-12-21,https://www.gov.uk/government/publications/future-threats-or-opportunities-dstl-student-essay-competition,,"Synthetic biology, Human activities, Biological warfare",eng,"crime, law and justice, economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>computing and information technology, science and technology, science and technology>natural science>biology, crime, law and justice>crime",10.1126/science.1213362
parliamentofnetherlands-eb6996fc2f389492c6fa2f731c6b1fda,Scientific report Art_31_ AI monitoring_March 2019,Publication,2021-12-21,https://eerstekamer.nl/9370000/1/j4nvi0xeni9vr2l_j9vvkfvj6b325az/vlppklmmazxr/f=/vlpoj7nad1zy.pdf,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology>genetics, health",10.1126/science.1213362
hcss-57b79af3fd78a2b9f492a9a3138b1a6d,Strategic Alert: National Security Implications of Quantum Technology and Biotechnology - HCSS,Publication,2021-11-08,https://hcss.nl/report/strategic-alert-quantum-technology-biotechnolog/,,"Messenger RNA, Quantum network, Virus",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health",10.1126/science.1213362
who-21e58fa0cb28e055c4cacde8da6855c0,Emerging technologies and dual-use concerns: a horizon scan for global public health,Publication,2021-10-22,https://apps.who.int/iris/handle/10665/346862,,"Biosecurity, Synthetic biology, Governance",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",10.1126/science.1213362
committee_house-b5542ccd0a14807db5ec795b16ebd05a,Biosecurity for the Future: Strengthening Deterrence and Detection,Publication,2021-08-01,https://www.congress.gov/event/117th-congress/house-event/114290,"117th Congress (2021-2022), House Foreign Affairs","Pandemic, Virology, Infection",eng,"health>diseases and conditions, science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology, health",10.1126/science.1213362
tnonl-7f39edd704464eb48e423f231eca2dd9,National Security Implications of Quantum Technology and Biotechnology,Publication,2021-01-01,https://repository.tno.nl/SingleDoc?docId=69720,,"Messenger RNA, Translation (biology), Quantum network",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>physics",10.1126/science.1213362
sespases-4d2a93a77f2c1faa4d71f2fdbf712789,"Transmission of SARS-CoV-2 by respiratory droplets, contaminated objects and aerosols (airborne).",Clinical guidance,2020-09-09,https://sespas.es/wp-content/uploads/2020/09/Transmision-del-SARS-CoV-2-por-gotas-respiratorias-objetos-contaminados-y-aerosoles.pdf,,"Airborne transmission, SARS-CoV-2, COVID-19",spa,"environment, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, environment>environmental pollution",10.1126/science.1213362
observerresearchfoundation-521b8345f0a1d11360c2410f8ce372fc,Perspectives on SARS-CoV-2 strains,Publication,2020-05-29,https://www.orfonline.org/research/perspectives-on-sars-cov-2-strains-67003,,"Severe acute respiratory syndrome coronavirus 2, Virus, Protein",eng,"health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology, health, science and technology>natural science>biology>genetics",10.1126/science.1213362
observerresearchfoundation-52eec8d0cf45187b17fc6a5b8ccaf6f8,Perspectives on SARS-CoV-2 strains | ORF,Publication,2020-05-28,https://www.orfonline.org/research/perspectives-on-sars-cov-2-strains-67003/,,"Severe acute respiratory syndrome coronavirus 2, Virus, Protein",eng,"health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology, health, science and technology>natural science>biology>genetics",10.1126/science.1213362
10.2861/620590,Bio Plus X: Arms Control and the Convergence of Biology and Emerging Technologies,Publication,2019-03-01,https://www.sipri.org/publications/2019/other-publications/bio-plus-x-arms-control-and-convergence-biology-and-emerging-technologies,,"Artificial intelligence, Biosecurity, Machine learning",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology, science and technology>natural science>biology, economy, business and finance>economic sector>computing and information technology, health, health>diseases and conditions, education, science and technology>natural science",10.1126/science.1213362
irsstca-bade91d8dc8479bfd556329d6da89987,Exposure to bioaerosols in wastewater treatment plants: application of molecular approaches and viral risk,Publication,2019-01-01,https://pharesst.irsst.qc.ca/rapports-scientifique/90,,"Influenza, Virus, Bacteria",fre,"health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology, science and technology>natural science, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics, health, health>diseases and conditions>illness",10.1126/science.1213362
spruuk-292fd428c911dad3d7b04f904209187f,[THIS TITLE IS BROKEN AND HAS BEEN REMOVED],Working paper,2018-07-30,https://www.sussex.ac.uk/spru/documents/2016-02-swps-wallace-et-al.pdf,,"Influenza A virus subtype H1N1, Research, Influenza A virus subtype H5N1",eng,"science and technology>natural science, health, science and technology, science and technology>natural science>biology, health>diseases and conditions",10.1126/science.1213362
governmentofcanada-b1107c749bf36be15ec3792a9f13e59d,Canadian biosafety guideline : dual-use in life science research.: HP45-22/2018E-PDF Publications - Canada.ca,Publication,2018-07-02,http://publications.gc.ca/site/eng/9.894145/publication.html,,"Biosecurity, Biosafety, Dual-use technology",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology",10.1126/science.1213362
govdeptsaustria-59443ee6b0e02b83a252c609b8e88c1f,Tomorrow ’ s Technology,Publication,2018-03-22,https://www.bmlv.gv.at/pdf_pool/publikationen/buch_dengg_tomorrows_technology_web.pdf,,"Bioterrorism, Technological singularity, Genome editing",eng,"economy, business and finance, economy, business and finance>economic sector, health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, economy, business and finance>economic sector>computing and information technology, health>diseases and conditions>communicable disease>virus disease, conflicts, war and peace",10.1126/science.1213362
who-b7697af8596ed30724edfcab9e0ca495,2017 update,Publication,2018-01-22,https://apps.who.int/iris/handle/10665/259891,,"Influenza pandemic, Infection, Virus",eng,"health>diseases and conditions, science and technology, science and technology>natural science, science and technology>natural science>biology, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease>virus disease>retrovirus, health>diseases and conditions>communicable disease>epidemic, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease",10.1126/science.1213362
kcdc-96ea79d51402b22ca2054032af04c3ae,Center for Disease Control,Clinical guidance,2017-10-19,https://www.cdc.go.kr/board/board.es?mid=a20602010000&bid=0034&list_no=76632&act=view,,,kor,,10.1126/science.1213362
kcdc-e56ff0b38fd48617189347e3134fa738,Centers for Disease Control and Prevention,Clinical guidance,2017-10-19,https://www.kdca.go.kr/board/board.es?mid=a20602010000&bid=0034&list_no=76632&act=view,,"Influenza A virus subtype H5N1, Genetically modified organism, Biosafety level",kor,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>health treatment, science and technology>natural science>biology, science and technology>natural science, health, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health>health treatment>medicine",10.1126/science.1213362
royalsociety-b7d7df6e8f7c5819c438db0dfc31b0de,Implications of advances in science for the BTWC,Publication,2017-09-20,https://royalsociety.org/topics-policy/projects/biological-toxin-weapons-convention,,"Infection, Virus, Influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology, health, science and technology>natural science>biology>genetics",10.1126/science.1213362
ecdc-25655cb1b7a7b99e924744943421385f,"Genetic evolution of influenza A(H7N9) virus in China - implications for public health. Sixth update, 9 March 2017",Publication,2017-03-10,https://www.ecdc.europa.eu/en/publications-data/genetic-evolution-influenza-ah7n9-virus-china-implications-public-health-sixth,,"Influenza A virus subtype H7N9, Avian influenza, Influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology",10.1126/science.1213362
who-388de2933bccd6661f8f9dfcf57944fc,"Update on human cases of influenza at the human-animal interface, 2012 = Le point sur les cas humains de grippe à l’interface homme-animal, 2012",Publication,2016-06-16,https://apps.who.int/iris/handle/10665/242048,,"Influenza A virus subtype H3N2, Influenza A virus subtype H5N1, Influenza",eng,"health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease>virus disease>retrovirus, health>diseases and conditions>communicable disease, health>diseases and conditions",10.1126/science.1213362
who-94ca4feaf8fd847ee3b73ad81147a6ae,"Weekly Epidemiological Record, 2013, vol. 88, 13 [‎full issue]‎",Publication,2016-06-16,https://apps.who.int/iris/handle/10665/242049,,"Influenza A virus subtype H3N2, Influenza A virus subtype H5N1, Pandemic H1N1/09 virus",eng,"science and technology, health>diseases and conditions, science and technology>natural science, health, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease>retrovirus, health>diseases and conditions>communicable disease",10.1126/science.1213362
tabde-d5c66a1587b61e8b39c2be111b3a2c40,Synthetic Biology - the next level of biotechnology and genetic engineering,Publication,2015-12-01,http://www.tab-beim-bundestag.de/de/pdf/publikationen/berichte/TAB-Arbeitsbericht-ab164.pdf,,"Technology assessment, Biology, Photosynthesis",ger,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science>biology, science and technology, economy, business and finance>economic sector>chemicals, science and technology>natural science>biology>genetics, science and technology>natural science, environment, environment>natural resources",10.1126/science.1213362
chatham-7fc9164906c1df3dd7182a1a8b22f63a,Safe and Secure Biomaterials: A Risk-Based Alternative Approach,Publication,2014-07-15,https://www.chathamhouse.org/publication/safe-and-secure-biomaterials-risk-based-alternative-approach,,"Biosecurity, Biosafety, Bioterrorism",eng,"science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, science and technology, health>diseases and conditions>communicable disease>virus disease>retrovirus, environment, health>diseases and conditions>communicable disease",10.1126/science.1213362
10.1017/s1474745615000701,Avian influenza A(H5N6): the latest addition to emerging zoonotic avian influenza threats in East and Southeast Asia,Publication,2014-01-01,https://openknowledge.fao.org/handle/20.500.14283/I4199E,"1 - Продукты знаний, Publicaciones, value chains","Avian influenza, Influenza A virus subtype H5N1, Influenza A virus subtype H7N9",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics, science and technology>natural science>biology, health>diseases and conditions, health",10.1126/science.1213362
10.2900/31986,Annual Epidemiological Report 2013 [2011 data],Publication,2013-12-18,https://www.ecdc.europa.eu/en/publications-data/annual-epidemiological-report-2013-2011-data,,"Influenza A virus subtype H3N2, Influenza A virus subtype H5N1, Avian influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease",10.1126/science.1213362
ocwnl-1435a91f6ff8bac77c5735529638852b,building biosecurity,Publication,2013-12-03,https://open.overheid.nl/Details/ronl-archief-3fc401f4-b776-4d70-9dc0-dfbb6ad8afc2/1,,"Health Council of the Netherlands, Research, Biological warfare",dut,"health>diseases and conditions, health, science and technology",10.1126/science.1213362
