first_order_id,title,publication_date,type,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name,second_order_id
10.2903/j.efsa.2022.7289,Human infection with H3N8 avian influenza virus: A novel H9N2-original reassortment virus,2022-09-01,letter,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Respiratory viral infections research; Viral gastroenteritis research and epidemiology,Medicine; Medicine; Medicine,Health Sciences; Health Sciences; Health Sciences,Reassortment; H5N1 genetic structure; Human influenza,Reassortment; Virology; Virus; Influenza A virus subtype H5N1; Avian influenza virus; Influenza A virus; H5N1 genetic structure; Transmission and infection of H5N1; Human influenza; Biology; Medicine; Coronavirus disease 2019 (COVID-19); Infectious disease (medical specialty); Disease; Pathology,"Influenza A Virus, H3N8 Subtype; Influenza A Virus, H9N2 Subtype; Influenza in Birds; Influenza, Human; Animals; Chickens; Humans; Influenza A Virus, H9N2 Subtype; Influenza in Birds; Phylogeny; Reassortant Viruses; Reassortant Viruses",genetics; epidemiology; genetics,10.1016/j.jinf.2022.08.033
10.2903/j.efsa.2016.4687,Highly Pathogenic Avian Influenza A(H5N1) in Animals: A Systematic Review and Meta-Analysis,2024-06-01,review,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral Infections and Vectors; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Highly pathogenic,Influenza A virus subtype H5N1; Highly pathogenic; Public health; Virology; Biology; Medicine; Environmental health; Pathology; Virus,,,10.1016/j.nmni.2024.101439
10.2903/j.efsa.2022.7415,Highly Pathogenic Avian Influenza A(H5N1) in Animals: A Systematic Review and Meta-Analysis,2024-06-01,review,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral Infections and Vectors; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Highly pathogenic,Influenza A virus subtype H5N1; Highly pathogenic; Public health; Virology; Biology; Medicine; Environmental health; Pathology; Virus,,,10.1016/j.nmni.2024.101439
10.2903/j.efsa.2021.7108,Gross pathology of high pathogenicity avian influenza virus H5N1 2021–2022 epizootic in naturally infected birds in the United Kingdom,2022-04-27,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral Infections and Vectors; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Epizootic,Influenza A virus subtype H5N1; Epizootic; Pathogenicity; Virology; Avian influenza virus; Biology; Influenza A virus; Virus; Transmission and infection of H5N1; Zoology; Microbiology,,,10.1016/j.onehlt.2022.100392
10.2903/j.efsa.2022.7289,High activity levels of avian influenza upwards 2018–2022: A global epidemiological overview of fowl and human infections,2023-02-20,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Fowl,Influenza A virus subtype H5N1; Outbreak; Human mortality from H5N1; Epidemiology; Fowl; Population; Virology; Biology; Influenza A virus; Virus; Veterinary medicine; Environmental health; Medicine; Infectious disease (medical specialty); Disease; Ecology; Coronavirus disease 2019 (COVID-19); Pathology,,,10.1016/j.onehlt.2023.100511
10.2903/j.efsa.2021.7108,Financial impacts of a housing order on commercial free range egg layers in response to highly pathogenic avian influenza,2024-04-16,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Livestock and Poultry Management,Medicine; Agricultural and Biological Sciences; Agricultural and Biological Sciences,Health Sciences; Life Sciences; Life Sciences,Flock; Poultry farming,Flock; Influenza A virus subtype H5N1; Revenue; Poultry farming; Business; Agricultural science; Agricultural economics; Biology; Economics; Finance; Ecology; Virus; Virology,"Animal Husbandry; Animals; Chickens; Female; Housing, Animal; Influenza in Birds; Poultry Diseases; United Kingdom",economics; economics; economics; epidemiology,10.1016/j.prevetmed.2024.106209
10.2903/j.efsa.2021.7108,Mapping the risk of introduction of highly pathogenic avian influenza to Swedish poultry,2024-06-29,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Highly pathogenic; Biosecurity; Poultry farming,Influenza A virus subtype H5N1; Outbreak; Highly pathogenic; Biosecurity; Geography; Risk assessment; Poultry farming; Veterinary medicine; Population; Livestock; Agriculture; Environmental health; Environmental protection; Socioeconomics; Biology; Ecology; Forestry; Virology; Medicine; Virus; Computer security; Archaeology; Sociology; Computer science,"Animals; Animals, Wild; Birds; Disease Outbreaks; Influenza in Birds; Poultry; Poultry Diseases; Risk Assessment; Risk Factors; Spatio-Temporal Analysis; Sweden",veterinary; epidemiology; virology; epidemiology,10.1016/j.prevetmed.2024.106260
10.2903/j.efsa.2021.7108,Differential replication characteristic of reassortant avian influenza A viruses H5N8 clade 2.3.4.4b in Madin-Darby canine kidney cell,2023-03-30,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Viral Shedding,Virology; Biology; Influenza A virus subtype H5N1; Virulence; Virus; Gene; Viral replication; Hemagglutinin (influenza); Viral shedding; Clade; Neuraminidase; Tropism; Influenza A virus; Phylogenetics; Genetics,"Dog Diseases; Influenza A Virus, H5N1 Subtype; Influenza A Virus, H5N8 Subtype; Influenza A virus; Influenza in Birds; Animals; Chickens; Dogs; Influenza A Virus, H5N1 Subtype; Influenza A Virus, H5N8 Subtype; Kidney; Kidney; Mammals; Phylogeny",genetics; genetics; pathology,10.1016/j.psj.2023.102685
10.2903/j.efsa.2022.7415,Characterizing the domestic-wild bird interface through camera traps in an area at risk for avian influenza introduction in Northern Italy,2024-05-23,article,Zoonotic diseases and public health,"Public Health, Environmental and Occupational Health",Health Sciences,Zoonotic diseases and public health; Animal Disease Management and Epidemiology; Influenza Virus Research Studies,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Streptopelia; Phasianus; Anas,Streptopelia; Wildlife; Phasianus; Influenza A virus subtype H5N1; Anas; Geography; Foraging; Zoology; Veterinary medicine; Ecology; Biology; Fishery; Dove; Pheasant; Medicine; Virus; Virology; Political science; Law,"Animals; Animals, Wild; Birds; Chickens; Influenza in Birds; Italy; Poultry Diseases",epidemiology; epidemiology; epidemiology,10.1016/j.psj.2024.103892
10.2903/j.efsa.2021.7108,"Public health response to outbreaks of highly pathogenic avian influenza (H5N1) among poultry in Northeast of Ireland, November 2021 to January 2022",2022-09-28,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral Infections and Vectors; Respiratory viral infections research,Medicine; Medicine; Medicine,Health Sciences; Health Sciences; Health Sciences,Contact tracing; Pandemic,Influenza A virus subtype H5N1; Outbreak; Public health; Environmental health; Medicine; Contact tracing; Transmission (telecommunications); Pandemic; Veterinary medicine; Virology; Disease; Coronavirus disease 2019 (COVID-19); Infectious disease (medical specialty); Nursing; Virus; Pathology; Electrical engineering; Engineering,"Influenza A Virus, H5N1 Subtype; Influenza in Birds; Animals; Cross-Sectional Studies; Disease Outbreaks; Disease Outbreaks; Humans; Influenza in Birds; Ireland; Ireland; Poultry; Public Health",veterinary; epidemiology; epidemiology,10.1016/j.puhe.2022.08.014
10.2903/j.efsa.2021.7108,Epidemiological and Virological investigation of high pathogenicity avian influenza outbreaks in Danish poultry during 2020/2021 and 2021/2022,2025-03-01,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Virus Infections Studies; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Danish; Poultry farming,Outbreak; Influenza A virus subtype H5N1; Biology; Epidemiology; Danish; Transmission (telecommunications); Virology; Veterinary medicine; Poultry farming; Virus; Ecology; Medicine; Linguistics; Philosophy; Internal medicine; Electrical engineering; Engineering,Animals; Chickens; Denmark; Disease Outbreaks; Influenza A virus; Influenza in Birds; Poultry; Poultry Diseases,epidemiology; veterinary; pathogenicity; epidemiology; virology,10.1016/j.rvsc.2025.105618
10.2903/j.efsa.2022.7415,Epidemiological and Virological investigation of high pathogenicity avian influenza outbreaks in Danish poultry during 2020/2021 and 2021/2022,2025-03-01,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Virus Infections Studies; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Danish; Poultry farming,Outbreak; Influenza A virus subtype H5N1; Biology; Epidemiology; Danish; Transmission (telecommunications); Virology; Veterinary medicine; Poultry farming; Virus; Ecology; Medicine; Linguistics; Philosophy; Internal medicine; Electrical engineering; Engineering,Animals; Chickens; Denmark; Disease Outbreaks; Influenza A virus; Influenza in Birds; Poultry; Poultry Diseases,epidemiology; veterinary; pathogenicity; epidemiology; virology,10.1016/j.rvsc.2025.105618
10.2903/j.efsa.2016.4687,Novel viruses in birds: Flying through the roof or is a cage needed?,2018-01-02,review,Viral Infections and Vectors,Infectious Diseases,Health Sciences,Viral Infections and Vectors; Animal Virus Infections Studies; Virology and Viral Diseases,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,,Biology; Outbreak; Virus; Endangered species; Virology; Disease; Ecology; Medicine; Habitat; Pathology,"Birds; Animals; Animals, Domestic; Animals, Domestic; Animals, Wild; Animals, Wild; Bird Diseases; Bird Diseases; Birds; Chickens; Chickens; Columbidae; Columbidae; Ducks; Ducks; Endangered Species; Virus Diseases; Virus Diseases; Viruses; Viruses; Viruses",virology; virology; virology; virology; virology; virology; virology; veterinary; isolation & purification; pathogenicity,10.1016/j.tvjl.2017.12.023
10.2903/j.efsa.2021.7108,Pathogenesis and infection dynamics of high pathogenicity avian influenza virus (HPAIV) H5N6 (clade 2.3.4.4b) in pheasants and onward transmission to chickens,2022-10-29,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Galliformes,Biology; Influenza A virus subtype H5N1; Clade; Outbreak; Pheasant; Virology; Virus; Transmission (telecommunications); Avian influenza virus; Virulence; Pathogenicity; Galliformes; Host (biology); Influenza A virus; Veterinary medicine; Zoology; Phylogenetic tree; Ecology; Genetics; Microbiology; Gene; Medicine; Electrical engineering; Engineering,,,10.1016/j.virol.2022.10.009
10.2903/j.efsa.2021.7108,"H5N1 highly pathogenic avian influenza clade 2.3.4.4b in wild and domestic birds: Introductions into the United States and reassortments, December 2021–April 2022",2023-08-02,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral Infections and Vectors; Respiratory viral infections research,Medicine; Medicine; Medicine,Health Sciences; Health Sciences; Health Sciences,Flock; Highly pathogenic,Influenza A virus subtype H5N1; Goose; Biology; Clade; Flock; Genotype; Virology; Highly pathogenic; Phylogenetic tree; Zoology; Virus; Gene; Genetics; Ecology,,,10.1016/j.virol.2023.109860
10.2903/j.efsa.2021.7108,H5N1 avian influenza: tracking outbreaks with real-time epidemiological data,2024-07-09,letter,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; COVID-19 epidemiological studies,Medicine; Agricultural and Biological Sciences; Mathematics,Health Sciences; Life Sciences; Physical Sciences,Highly pathogenic,Influenza A virus subtype H5N1; Outbreak; Epidemiology; Virology; Environmental health; Highly pathogenic; Geography; Veterinary medicine; Biology; Medicine; Virus; Internal medicine,"Animals; Birds; Disease Outbreaks; Humans; Influenza A Virus, H5N1 Subtype; Influenza in Birds; Influenza, Human",virology; epidemiology; epidemiology,10.1016/s1473-3099(24)00414-6
10.2903/j.efsa.2022.7289,Synchrony of Bird Migration with Global Dispersal of Avian Influenza Reveals Exposed Bird Orders,2024-02-06,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral Infections and Vectors; Genomics and Phylogenetic Studies,"Medicine; Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Health Sciences; Life Sciences,Bird migration; Lineage (genetic),Biological dispersal; Clade; Bird migration; Influenza A virus subtype H5N1; Biology; Outbreak; Lineage (genetic); Ecology; Influenza A virus; Evolutionary biology; Phylogenetics; Zoology; Virus; Virology; Population; Genetics; Gene; Demography; Sociology,"Animal Migration; Animals; Animals, Wild; Birds; Influenza A virus; Influenza in Birds; Phylogeny; Poultry",genetics; transmission,10.1038/s41467-024-45462-1
10.2903/j.efsa.2022.7415,Development of a nucleoside-modified mRNA vaccine against clade 2.3.4.4b H5 highly pathogenic avian influenza virus,2024-05-23,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Immune Response and Inflammation; Animal Virus Infections Studies,Medicine; Immunology and Microbiology; Agricultural and Biological Sciences,Health Sciences; Life Sciences; Life Sciences,Highly pathogenic; Pandemic,Virology; Hemagglutinin (influenza); Virus; Antibody; Influenza A virus subtype H5N1; Biology; Highly pathogenic; Vaccination; Pandemic; Messenger RNA; Influenza A virus; Microbiology; Gene; Medicine; Immunology; Coronavirus disease 2019 (COVID-19); Infectious disease (medical specialty); Disease; Biochemistry; Pathology,"Animals; Antibodies, Neutralizing; Antibodies, Viral; Birds; Female; Ferrets; Hemagglutinin Glycoproteins, Influenza Virus; Humans; Influenza A Virus, H1N1 Subtype; Influenza A Virus, H5N1 Subtype; Influenza Vaccines; Influenza in Birds; Lipids; Liposomes; Male; Mice; Mice, Inbred BALB C; Nanoparticles; Orthomyxoviridae Infections; RNA, Messenger; mRNA Vaccines",immunology; immunology; virology; immunology; immunology; immunology; immunology; prevention & control; chemistry; chemistry; prevention & control; genetics; immunology,10.1038/s41467-024-48555-z
10.2903/j.efsa.2022.7289,BTN3A3 evasion promotes the zoonotic potential of influenza A viruses,2023-06-28,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Respiratory viral infections research; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Nucleoprotein; Subfamily,Biology; Virology; Influenza A virus subtype H5N1; Nucleoprotein; Subfamily; Influenza A virus; Virus; Viral replication; Genetics; Gene,"Animals; Birds; Host Microbial Interactions; Humans; Influenza A virus; Influenza in Birds; Influenza, Human; Primates; Respiratory System; Risk Assessment; Viral Zoonoses; Virus Replication",virology; classification; transmission; prevention & control; metabolism; prevention & control,10.1038/s41586-023-06261-8
10.1787/0b55736e-en,A network approach to rank countries chasing sustainable development,2021-07-29,article,Economic and Technological Innovation,Economics and Econometrics,Social Sciences,Economic and Technological Innovation; Sustainability and Ecological Systems Analysis,"Economics, Econometrics and Finance; Environmental Science",Social Sciences; Physical Sciences,Rank (graph theory),Rank (graph theory); Computer science; Mathematics; Combinatorics,,,10.1038/s41598-021-94858-2
10.2903/j.efsa.2021.7108,Transatlantic spread of highly pathogenic avian influenza H5N1 by wild birds from Europe to North America in 2021,2022-07-11,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral Infections and Vectors,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Highly pathogenic; Bird flu,Influenza A virus subtype H5N1; Highly pathogenic; Virology; Bird flu; Geography; Zoology; Biology; Virus,"Animals; Animals, Wild; Europe; Geese; Humans; Influenza A Virus, H5N1 Subtype; Influenza A virus; Influenza in Birds; North America; Phylogeny; Poultry",epidemiology; genetics; epidemiology; epidemiology,10.1038/s41598-022-13447-z
10.2903/j.efsa.2022.7289,Quantification and characterisation of commensal wild birds and their interactions with domestic ducks on a free-range farm in southwest France,2022-06-13,article,Animal Disease Management and Epidemiology,Agronomy and Crop Science,Life Sciences,Animal Disease Management and Epidemiology; Animal Behavior and Welfare Studies; Wildlife Ecology and Conservation,Agricultural and Biological Sciences; Veterinary; Environmental Science,Life Sciences; Health Sciences; Physical Sciences,White (mutation),Foraging; Abundance (ecology); Biology; Seasonal breeder; Ecology; Range (aeronautics); Zoology; White (mutation); Biochemistry; Materials science; Composite material; Gene,"Animals; Animals, Wild; Birds; Ducks; Farms; Influenza in Birds; Poultry; Poultry Diseases",,10.1038/s41598-022-13846-2
10.2903/j.efsa.2022.7289,"Using surveillance data for early warning modelling of highly pathogenic avian influenza in Europe reveals a seasonal shift in transmission, 2016–2022",2023-09-16,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Flock; Highly pathogenic; Poultry farming,Flock; Influenza A virus subtype H5N1; Outbreak; Highly pathogenic; Transmission (telecommunications); Warning system; Avian influenza virus; Public health; Poultry farming; Veterinary medicine; Environmental health; Geography; Biology; Virology; Medicine; Virus; Computer science; Telecommunications; Nursing,Influenza in Birds; Animals; Disease Outbreaks; Disease Outbreaks; Europe; Europe; Influenza in Birds; Public Health; Seasons,veterinary; epidemiology; epidemiology,10.1038/s41598-023-42660-7
10.2903/j.efsa.2022.7415,"Using surveillance data for early warning modelling of highly pathogenic avian influenza in Europe reveals a seasonal shift in transmission, 2016–2022",2023-09-16,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Flock; Highly pathogenic; Poultry farming,Flock; Influenza A virus subtype H5N1; Outbreak; Highly pathogenic; Transmission (telecommunications); Warning system; Avian influenza virus; Public health; Poultry farming; Veterinary medicine; Environmental health; Geography; Biology; Virology; Medicine; Virus; Computer science; Telecommunications; Nursing,Influenza in Birds; Animals; Disease Outbreaks; Disease Outbreaks; Europe; Europe; Influenza in Birds; Public Health; Seasons,veterinary; epidemiology; epidemiology,10.1038/s41598-023-42660-7
10.2903/j.efsa.2016.4687,Transmission dynamics of highly pathogenic avian influenza among multiple waterfowl species and backyard poultry: the impact of the stopover period,2025-02-18,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral Infections and Vectors; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Highly pathogenic; Poultry farming,Waterfowl; Influenza A virus subtype H5N1; Transmission (telecommunications); Highly pathogenic; Period (music); Biology; Zoology; Poultry farming; Geography; Fishery; Veterinary medicine; Virology; Ecology; Medicine; Virus; Computer science; Telecommunications; Physics; Habitat; Acoustics,"Animal Migration; Animals; Disease Outbreaks; Influenza A virus; Influenza in Birds; Models, Theoretical; Poultry; Poultry Diseases",pathogenicity; transmission; virology; transmission,10.1038/s41598-025-89827-y
10.2903/j.efsa.2021.7108,The Alarming Situation of Highly Pathogenic Avian Influenza Viruses in 2019–2023,2024-06-28,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral gastroenteritis research and epidemiology; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Highly pathogenic,Influenza A virus subtype H5N1; Highly pathogenic; Virology; Transmission (telecommunications); Human health; Biology; Environmental health; Medicine; Virus; Computer science; Telecommunications,,,10.1055/s-0044-1788039
10.2903/j.efsa.2022.7289,The Alarming Situation of Highly Pathogenic Avian Influenza Viruses in 2019–2023,2024-06-28,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral gastroenteritis research and epidemiology; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Highly pathogenic,Influenza A virus subtype H5N1; Highly pathogenic; Virology; Transmission (telecommunications); Human health; Biology; Environmental health; Medicine; Virus; Computer science; Telecommunications,,,10.1055/s-0044-1788039
