unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_unique_identifier
unenvironment-e20ee093dc62be90bcec4e56c8f9277c,Navigating New Horizons: A global foresight report on planetary health and human wellbeing,Publication,2024-07-09,https://wedocs.unep.org/handle/20.500.11822/45890,,"Nature, Natural environment, Earth sciences",eng,"environment>natural resources, lifestyle and leisure, lifestyle and leisure>lifestyle, environment, environment>natural resources>water, environment>environmental pollution, environment>nature, health, lifestyle and leisure>lifestyle>food and drink",who-f6488bdadd89245cefef23285bb10d1b
who-8fc937866d30c5e0b31feb97676c5825,Benefits and risks of using artificial intelligence for pharmaceutical development and delivery,Publication,2024-01-01,https://apps.who.int/iris/handle/10665/375871,1. Headquarters,"Medication, Artificial intelligence, Clinical trial",eng,"economy, business and finance, economy, business and finance>economic sector, health, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>computing and information technology",who-f6488bdadd89245cefef23285bb10d1b
who-35da0728e59d83eadeda6d781986f91f,"WHO Technical Advisory Group on the Responsible Use of the Life Sciences and Dual-Use Research (TAG-RULS DUR): report of the inaugural meeting, 24 January 2024",Publication,2024-01-01,https://apps.who.int/iris/handle/10665/376368,1. Headquarters,"Creative Commons license, Biosecurity, Health",eng,"science and technology>natural science, health>health treatment, health, science and technology, science and technology>natural science>biology, health>health treatment>medicine, education",who-f6488bdadd89245cefef23285bb10d1b
who-60a87a90cc18c7afad13d073db0f062e,Laboratory biosecurity guidance,Publication,2024-01-01,https://apps.who.int/iris/handle/10665/377754,1. Headquarters,"Biosecurity, Biosafety, Epigenetics",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease",who-f6488bdadd89245cefef23285bb10d1b
unitednations-098607d9efdb6913839d5838ee89b3fa,Navigating new horizons :a global foresight report on planetary health and human wellbeing,Publication,2024-01-01,https://digitallibrary.un.org/record/4058844?ln=en,"CLIMATE CHANGE, ENVIRONMENTAL DAMAGE, SUSTAINABLE DEVELOPMENT","Climate change, Antimicrobial resistance, Solar geoengineering",eng,"environment>natural resources, environment, environment>natural resources>water, environment>environmental pollution, environment>nature, health",who-f6488bdadd89245cefef23285bb10d1b
who-40dd92ff7f69c3e9fc1d4b5abc91c7d1,"WHO Technical Advisory Group on the responsible use of the life sciences and dual-use research: report of the meeting, Geneva, Switzerland, 16-18 April 2024",Publication,2024-01-01,https://apps.who.int/iris/handle/10665/379050,1. Headquarters,"Biosecurity, Biosafety, World Health Organization",eng,"science and technology>natural science, health>diseases and conditions, health, science and technology, science and technology>natural science>biology, science and technology>natural science>biology>genetics",who-f6488bdadd89245cefef23285bb10d1b
unidir-fe05b5e0f7dddb223ac29fd1a6e2d9ed,Addressing Chemical and Biological Weapons Challenges Through the Middle East Weapons of Mass Destruction-Free Zone: Workshop Report,Publication,2023-07-07,https://unidir.org/publication/addressing-chemical-and-biological-weapons-challenges-through-the-middle-east-weapons-of-mass-destruction-free-zone-workshop-report/,,"Chemical Weapons Convention, Organisation for the Prohibition of Chemical Weapons, Chemical warfare",eng,"conflicts, war and peace>post-war reconstruction, politics>government, politics>government>defence, politics>government>defence>military equipment, science and technology>natural science, science and technology>natural science>biology, conflicts, war and peace, science and technology, conflicts, war and peace>armed conflict, politics>government>defence>military equipment>military weaponry, health, politics, conflicts, war and peace>post-war reconstruction>disarmament",who-f6488bdadd89245cefef23285bb10d1b
who-7f17601c4d68f6e97900f13184888703,Global Guidelines for the Responsible Use of Life Sciences Research: Biological Risk Reduction and Management of Dual Use Research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369132,,"Health, Disease, Creative Commons license",rus,"science and technology>natural science, science and technology>natural science>biology, science and technology, health>diseases and conditions, health, science and technology>natural science>biology>genetics",who-f6488bdadd89245cefef23285bb10d1b
govuk-82ae55ecfd4bb50ea08bd6f06cf5cb0b,UK Biological Security Strategy,Publication,2023-06-12,https://www.gov.uk/government/publications/uk-biological-security-strategy,,"Biosafety level, Biosecurity, AlphaFold",eng,"science and technology>natural science, science and technology, health>diseases and conditions, health, science and technology>natural science>biology",who-f6488bdadd89245cefef23285bb10d1b
who-04bf1ca72cc9325b7d1f42333f3ad894,"Regional workshop to operationalize the Global guidance framework for the responsible use of life sciences in the WHO African Region: meeting report, Nairobi, Kenya, 24-25 January 2023",Publication,2023-06-06,https://apps.who.int/iris/handle/10665/368655,,"World Health Organization, Research, Sustainable Development Goals",fre,"society, society>values, health, environment, science and technology, society>values>ethics",who-f6488bdadd89245cefef23285bb10d1b
who-69de5686763703a9431392f41bed9cd5,"Regional workshop to operationalize the global guidance framework for the responsible use of the life sciences in the WHO African Region: meeting report, Nairobi, Kenya, 24-25 January 2023",Publication,2023-03-28,https://apps.who.int/iris/handle/10665/366652,,"Centers for Disease Control and Prevention, Food and Agriculture Organization, Health",eng,"health>health treatment, environment, health, health>diseases and conditions, health>health treatment>medicine, politics, society",who-f6488bdadd89245cefef23285bb10d1b
unidir-e7852bb83bbd5a3ce4ec5dccb8d2e96a,Assessing the SecBio Platform Proposal for the Biological Weapons Convention,Publication,2022-12-07,https://unidir.org/publication/assessing-the-secbio-platform-proposal-for-the-biological-weapons-convention/,,"Biosecurity, Biological Weapons Convention, United Nations Security Council Resolution 1540",eng,"arts, culture and entertainment, arts, culture and entertainment>culture, health, science and technology, education, arts, culture and entertainment>culture>library and museum",who-f6488bdadd89245cefef23285bb10d1b
sipri-2ba68b771a559ca0ababff34165702fd,Opportunities for the European Union to Strengthen Biosecurity in Africa,Publication,2022-11-01,https://www.sipri.org/publications/2022/eu-non-proliferation-and-disarmament-papers/opportunities-european-union-strengthen-biosecurity-africa,,"Biosecurity, United Nations Security Council Resolution 1540, European Union",eng,"health>diseases and conditions, politics, health",who-f6488bdadd89245cefef23285bb10d1b
interacademies-87ccbd94e76c0729d54d394ee120e1d4,Global guidance framework for the responsible use of the life sciences,Publication,2022-09-12,https://www.interacademies.org/publication/global-guidance-framework-responsible-use-life-sciences,,"Governance, Biosecurity, Biosafety",eng,"science and technology>natural science, science and technology>research, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions, health, science and technology>research>medical research",who-f6488bdadd89245cefef23285bb10d1b
who-269e5872975525599bc2ffaddd1d011e,"Global Guiding Framework: Responsible Use of Life Sciences: Mitigating Biological Risks, Governing Dual-Use Research",Publication,2023-06-14,https://apps.who.int/iris/handle/10665/369236,,"Health, Preventive healthcare, Technology",chi,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, economy, business and finance>economic sector>computing and information technology",who-21e58fa0cb28e055c4cacde8da6855c0
who-083c2a2238ce6b3cd059c032a7e92b40,Global policy framework for the responsible use of life sciences: mitigating biological risks and governing dual research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369131,,"Governance, Safety, Natural environment",fre,"science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics, health, health>diseases and conditions>communicable disease>virus disease",who-21e58fa0cb28e055c4cacde8da6855c0
who-4edc91b17fa672bc52fdef05a27b0791,A global guideline framework for the responsible use of the life sciences: reducing biological risks and regulating dual-use research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369130,,"Branches of science, Ecosystem, Artificial intelligence",ara,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, health, health>diseases and conditions, science and technology, science and technology>natural science>biology, economy, business and finance>economic sector>computing and information technology, lifestyle and leisure>lifestyle>food and drink",who-21e58fa0cb28e055c4cacde8da6855c0
who-2328628190847b6aedf513fff1ba338d,Global Guidance Framework for Responsible Use of Life Sciences: Biohazard Reduction and Governance of Dual-Use Research,Publication,2023-06-09,https://apps.who.int/iris/handle/10665/368979,,"Natural environment, Infodemic, Governance",spa,"lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology>natural science>biology, science and technology, health>diseases and conditions, health, science and technology>natural science>biology>genetics, lifestyle and leisure>lifestyle>food and drink",who-21e58fa0cb28e055c4cacde8da6855c0
who-aa3ec977c0703d631c5009c21f3c2496,Global guidance framework for the responsible use of life sciences: mitigating biological risks and governing dual-use research,Publication,2023-01-01,https://apps.who.int/iris/handle/10665/374885,2. Regional Office for Africa,"Branches of science, Disease, Biological warfare",por,"science and technology>natural science>biology, science and technology>natural science, science and technology, science and technology>natural science>biology>genetics, health>diseases and conditions, health, science and technology>social sciences",who-21e58fa0cb28e055c4cacde8da6855c0
hiqaie-fe494431b50207363ef7553db68fc69d,Catalogue of institutions undertaking COVID-19 horizon scanning,Clinical guidance,2022-10-19,https://www.hiqa.ie/reports-and-publications/health-technology-assessment/catalogue-institutions-undertaking-covid-19,,"Health, Health informatics, COVID-19 vaccine",eng,"health>health treatment, science and technology>research, health, science and technology, health>health treatment>medicine, science and technology>research>medical research",who-21e58fa0cb28e055c4cacde8da6855c0
who-f6488bdadd89245cefef23285bb10d1b,Global guidance framework for the responsible use of the life sciences: mitigating biorisks and governing dual-use research,Publication,2022-09-07,https://apps.who.int/iris/handle/10665/362313,,"Branches of science, Biodiversity, Gain-of-function research",eng,"science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, science and technology>natural science>biology>genetics",who-21e58fa0cb28e055c4cacde8da6855c0
adviesraadvoorwetenschaptechnologieeninnovatie-472419814c9473107870e24c20f6902b,Corona scenarios thought through: Guide for necessary choices,Publication,2022-09-01,https://www.awti.nl/documenten/publicaties/2022/09/05/index,,"European Union, Virus, Education",dut,"economy, business and finance, science and technology>natural science, education, health, science and technology, science and technology>natural science>biology, health>diseases and conditions, economy, business and finance>economy",who-21e58fa0cb28e055c4cacde8da6855c0
parliamentofnetherlands-f14b3744e675389180617185e2f20533,Corona scenarios thought through: Guidance for necessary choices,Publication,2022-09-01,https://www.eerstekamer.nl/bijlage/20220905/rapportage_coronascenario_s/document3/f=/vlw3kowajtys.pdf,,"COVID-19, European Union, COVID-19 pandemic",dut,"politics, science and technology, health, politics>government, education",who-21e58fa0cb28e055c4cacde8da6855c0
govuk-b6e71ed85a0892c062d6ea2bcc65314a,Biological Security Strategy: call for evidence,Publication,2022-02-16,https://www.gov.uk/government/consultations/biological-security-strategy-call-for-evidence,,"Zoonosis, Risk, Freedom of Information Act (United States)",eng,"health>diseases and conditions, health, science and technology, health>diseases and conditions>illness",who-21e58fa0cb28e055c4cacde8da6855c0
unidir-15b5066da15bd034c09cc6180aacd475,Stakeholder Perspectives on the Biological Weapons Convention,Publication,2022-12-06,https://unidir.org/publication/stakeholder-perspectives-on-the-biological-weapons-convention/,,"Biosecurity, United Nations Interregional Crime and Justice Research Institute, Synthetic biology",eng,"science and technology>natural science, science and technology, health>diseases and conditions, science and technology>natural science>biology, health, science and technology>natural science>biology>genetics",unidir-32b63815f4c4871497402f6df3cb3aac
unidir-fa8d44f8730cce2399bb3499775cf909,Back to the Future for Verification in the Biological Disarmament Regime?,Publication,2022-06-13,https://unidir.org/publication/back-to-the-future-for-verification-in-the-biological-disarmament-regime/,,"Verex, Biological Weapons Convention, Biological agent",eng,"science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, science and technology>natural science>biology>genetics",unidir-32b63815f4c4871497402f6df3cb3aac
gpogov-16362803fd00a7d46073862b5bdd3d45,The future of weapons of mass destruction: an update /,Publication,2021-03-09,https://purl.fdlp.gov/GPO/gpo157605,,"Intercontinental ballistic missile, Joint Comprehensive Plan of Action, New START",eng,"politics, conflicts, war and peace>post-war reconstruction, politics>government policy, politics>government, politics>government>defence, politics>government>defence>military equipment, politics>government>defence>military equipment>military weaponry, conflicts, war and peace, conflicts, war and peace>armed conflict, conflicts, war and peace>armed conflict>war, politics>government policy>nuclear policy, conflicts, war and peace>post-war reconstruction>disarmament",unidir-32b63815f4c4871497402f6df3cb3aac
unidir-d5f4c685262012dc8035dea358989ce8,The 2020 Innovations Dialogue Conference Report,Publication,2020-12-01,https://unidir.org/publication/the-2020-innovations-dialogue-conference-report/,,"Synthetic biology, Genome editing, Nanotechnology",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease",unidir-32b63815f4c4871497402f6df3cb3aac
who-c948aad84c8e0ccf95e330bb3f09e266,WHO Expert Committee on Biological Standardization: eightieth report,Publication,2025-06-07,https://apps.who.int/iris/handle/10665/381607,1. Headquarters,"Botulism, Botulinum toxin, Vaccine",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>illness, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",who-16e7341d58bd345794c94dbbed7dd0d4
who-8d0edd23e2986182fadbc7bb410b1512,WHO Expert Committee on Biological Standardization: seventy-sixth report,Publication,2023-05-26,https://apps.who.int/iris/handle/10665/368140,,"Chikungunya, Antibody, Cetuximab",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",who-16e7341d58bd345794c94dbbed7dd0d4
who-dd1ac8c67568558f3b1c9fc364a0739f,WHO Expert Committee on Biological Standardization: report of the seventy-second and seventy-third meetings,Publication,2021-05-10,https://apps.who.int/iris/handle/10665/341239,,"Monoclonal antibody, Blood donation, Vaccine",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology, science and technology>biomedical science, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology>biomedical science>pharmacology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness",who-16e7341d58bd345794c94dbbed7dd0d4
who-d0d1e464d5b7b54ffd4b7c6c5ad143f8,WHO Expert Committee on Biological Standardization: seventy-first report,Publication,2021-03-10,https://apps.who.int/iris/handle/10665/340016,,"DNA sequencing, Plasmid, Neutralizing antibody",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health>diseases and conditions",who-16e7341d58bd345794c94dbbed7dd0d4
oieint-a44240bc1b40b9ffada3564f114c8dd6,"Report of the meeting of the OIE Biological Standards Commission, Paris, 12-15 February 2019",Publication,2019-02-01,https://doc.oie.int/dyn/portal/index.xhtml?page=alo&aloId=38464&req=23,,"Middle East respiratory syndrome–related coronavirus, Coronavirus, Middle East respiratory syndrome",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, science and technology>natural science>biology>genetics",oieint-1d2bf090690d70ea723ca13045a0c2fa
gpogov-de800ada266fa564ae0b2d38abf3bd46,Confidence-building in cyberspace : a comparison of territorial and weapons-based regimes /,Publication,2015-04-01,http://purl.fdlp.gov/GPO/gpo63699,,"Cyberwarfare, Computer security, Confidence-building measures",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>computing and information technology, politics, society, conflicts, war and peace, politics>international relations",who-cc0eac1b72ccd12e7cfae4a5c13bb743
who-fb97860ddfe59b2090ff399730543d69,Guidelines for poliovirus surveillance in the WHO African Region,Publication,2025-05-09,https://apps.who.int/iris/handle/10665/381353,2. Regional Office for Africa,"Polio, Polio eradication, Polio vaccine",fre,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness",who-a5b816c607631b6a86ed93dc2e3e4c09
who-e01d4ed8501525f58bf8921629005d24,Guidelines for poliovirus surveillance in the WHO African Region,Publication,2025-04-03,https://apps.who.int/iris/handle/10665/381032,2. Regional Office for Africa,"Polio vaccine, Medicine, Health sciences",eng,"health>health treatment, health>diseases and conditions, health, health>diseases and conditions>illness, health>health treatment>medicine",who-c59c57a497c17f34989852c2244e0179
who-7987c840c33ed75b9fef91d546f3e5fb,Global guidance for conducting acute flaccid paralysis (AFP) surveillance in the context of poliovirus eradication,Publication,2024-01-01,https://apps.who.int/iris/handle/10665/376603,1. Headquarters,"Polio eradication, Polio vaccine, Poliovirus",eng,"science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science>biology>genetics",who-c59c57a497c17f34989852c2244e0179
parliamentofaustria-792a1b3a05cdad1a220eb42d14d5dcb5,R&amp;TA monitoring for the Austrian Parliament,Publication,2022-11-21,https://www.parlament.gv.at/dokument/fachinfos/zukunftsthemen/000_Bericht_gesamt_aktualisiert_November2022.pdf,,"Futures studies, Artificial intelligence, Privacy",ger,"economy, business and finance>economic sector, economy, business and finance, science and technology, economy, business and finance>economic sector>energy and resource",tabde-d5c66a1587b61e8b39c2be111b3a2c40
parliamentofaustria-eed8687cd0dc8654c5145a612d4fd03d,Artificial life,Publication,2022-11-20,https://www.parlament.gv.at/dokument/fachinfos/zukunftsthemen/023_kuenstliches_leben.pdf,,"Genetics, Science, Branches of science",ger,"science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics, health",tabde-d5c66a1587b61e8b39c2be111b3a2c40
parliamentofaustria-bea0b827a76289340a199645a0f9ef33,R&amp;TA monitoring for the Austrian Parliament,Publication,2021-11-08,https://fachinfos.parlament.gv.at/wp-content/uploads/2021/11/000_Bericht_gesamt_aktualisiert_November2021_korr.pdf,,"Technology, Social media, Dystopia",ger,"economy, business and finance, economy, business and finance>economic sector, politics, politics>government, economy, business and finance>economic sector>computing and information technology, science and technology, economy, business and finance>economy, economy, business and finance>economic sector>media, politics>government>parliament",tabde-d5c66a1587b61e8b39c2be111b3a2c40
parliamentofaustria-13d6115bb39af863ce2c4ed0209bcb5a,R&amp;TA monitoring for the Austrian Parliament,Publication,2021-05-17,https://fachinfos.parlament.gv.at/wp-content/uploads/2021/05/000_bericht_gesamt_aktualisiert_Mai2021.pdf,,"Nudge theory, Artificial intelligence, Dystopia",ger,"economy, business and finance, economy, business and finance>economic sector, science and technology, politics>government, economy, business and finance>economic sector>computing and information technology, economy, business and finance>economy, politics",tabde-d5c66a1587b61e8b39c2be111b3a2c40
parliamentofaustria-7dda240e1805af29350de78806e7e197,R&amp;TA monitoring for the Austrian Parliament,Publication,2020-05-13,https://www.parlament.gv.at/ZUSD/FTA/FTA-Monitoring_Mai2020_gesamt.pdf,,"Nudge theory, Artificial intelligence, Information privacy",ger,"economy, business and finance, economy, business and finance>economic sector, health>diseases and conditions, science and technology, economy, business and finance>economic sector>computing and information technology, health",tabde-d5c66a1587b61e8b39c2be111b3a2c40
parliamentofaustria-6d73d93987dc0e0384118acc495a96d0,Foresight and Technology Assessment: Monitoring Future Topics for the Austrian Parliament,Publication,2019-12-04,https://www.parlament.gv.at/ZUSD/FTA/FTA-Monitoring_November2019_gesamt.pdf,,"Face detection, Technology, Nudge theory",ger,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology, science and technology>natural science>biology, economy, business and finance>economy, health, economy, business and finance>economic sector>computing and information technology",tabde-d5c66a1587b61e8b39c2be111b3a2c40
