core_doi,title,publication_date,type,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name,first_order_doi
10.1128/jvi.75.3.1205-1210.2001,Lessons from ePPP Research and the COVID‐19 Pandemic,2024-03-01,other,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; COVID-19 epidemiological studies; COVID-19 Pandemic Impacts,"Medicine; Mathematics; Economics, Econometrics and Finance",Health Sciences; Physical Sciences; Social Sciences,Pandemic; 2019-20 coronavirus outbreak,Pandemic; Coronavirus disease 2019 (COVID-19); 2019-20 coronavirus outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); Virology; Geography; Biology; Medicine; Outbreak; Infectious disease (medical specialty); Disease; Pathology,,,10.1002/9781394189045.ch15
10.1128/jvi.75.3.1205-1210.2001,Dual‐Use Research,2013-01-28,other,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,"Bacillus and Francisella bacterial research; Science, Research, and Medicine","Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences,Biological Warfare; Dual role; Medical Research; Dual purpose,Dual (grammatical number); Terrorism; Biological warfare; Political science; Engineering ethics; Dual role; Medical research; Dual purpose; Law; Medicine; Engineering; Art; Literature; Pathology; Combinatorial chemistry; Mechanical engineering; Chemistry,,,10.1002/9781444367072.wbiee607
10.1128/jvi.75.3.1205-1210.2001,Road Ahead,2008-01-23,other,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Animal Disease Management and Epidemiology; Zoonotic diseases and public health,"Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences; Medicine",Life Sciences; Life Sciences; Health Sciences,Human decontamination; Biological Warfare; Chemical warfare; Preparedness,Human decontamination; Biological warfare; Chemical warfare; Preparedness; Public health; Engineering; Political science; Medicine; Waste management; Law; Nursing,,,10.1002/9783527621620.ch14
10.1128/jvi.75.3.1205-1210.2001,Characteristics of Biological Warfare Agents – Diversity of Biology,2013-01-23,other,Bacteriophages and microbial interactions,Ecology,Physical Sciences,Bacteriophages and microbial interactions; Viral gastroenteritis research and epidemiology; Bacillus and Francisella bacterial research,"Environmental Science; Medicine; Biochemistry, Genetics and Molecular Biology",Physical Sciences; Health Sciences; Life Sciences,Biological Warfare,Biological warfare; Biology; Ecology; Habitat; Environmental ethics; Astrobiology; Toxicology; Philosophy,,,10.1002/9783527650163.ch4
10.1128/jvi.75.3.1205-1210.2001,Environmental biosafety in the age of Synthetic Biology: Do we really need a radical new approach?,2010-10-08,article,Gene Regulatory Network Analysis,Molecular Biology,Life Sciences,Gene Regulatory Network Analysis; Microbial Metabolic Engineering and Bioproduction; Evolution and Genetic Dynamics,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Synthetic Biology; Biosafety,Synthetic biology; Biosafety; Citation; Library science; Computer science; Operations research; Biology; Computational biology; Biotechnology; Engineering,"Bacteria; Biodegradation, Environmental; Environment; Genetic Engineering; Genome, Bacterial; Synthetic Biology; Artificial Cells; Bacteria; Bacteria; DNA; DNA; Genetic Engineering; Genome, Bacterial; Virulence",genetics; None; None; methods; genetics; None; None; None; pathogenicity; None; genetics; None; None; None,10.1002/bies.201000099
10.1128/jvi.75.3.1205-1210.2001,Bioterrorism and the Responsible Conduct of Biomedical Research,2004-11-01,article,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,"Bacillus and Francisella bacterial research; Health and Conflict Studies; Science, Research, and Medicine","Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine",Life Sciences; Health Sciences; Health Sciences,Openness to experience,Terrorism; Openness to experience; Political science; Engineering ethics; Public relations; Law; Psychology; Social psychology; Engineering,,,10.1002/ddr.10406
10.1128/jvi.75.3.1205-1210.2001,Immunisation route‐dependent expression of IL‐4/IL‐13 can modulate HIV‐specific CD8<sup>+</sup> CTL avidity,2009-07-01,article,HIV Research and Treatment,Virology,Life Sciences,HIV Research and Treatment; Immune Cell Function and Interaction; T-cell and B-cell Immunology,Immunology and Microbiology; Immunology and Microbiology; Immunology and Microbiology,Life Sciences; Life Sciences; Life Sciences,CTL*; Avidity,CTL*; Avidity; Biology; CD8; Immunology; Cytotoxic T cell; Immune system; Virology; Molecular biology; In vitro; Antibody; Biochemistry,"CD8-Positive T-Lymphocytes; Immunization; Interleukin-13; Interleukin-4; Animals; CD8-Positive T-Lymphocytes; CD8-Positive T-Lymphocytes; CD8-Positive T-Lymphocytes; Chemokine CCL5; Chemokine CCL5; Chemokine CCL5; Cytotoxicity, Immunologic; Cytotoxicity, Immunologic; Enzyme-Linked Immunosorbent Assay; Female; Flow Cytometry; HIV; HIV; Immunity, Mucosal; Immunization; Interferon-gamma; Interferon-gamma; Interferon-gamma; Interleukin-13; Interleukin-13; Interleukin-13; Interleukin-2; Interleukin-2; Interleukin-2; Interleukin-4; Interleukin-4; Mice; Mice, Inbred BALB C; Mice, Knockout; Poxviridae; Poxviridae; Receptors, Cell Surface; Receptors, Cell Surface; Receptors, Cell Surface; Reverse Transcriptase Polymerase Chain Reaction; STAT6 Transcription Factor; STAT6 Transcription Factor; STAT6 Transcription Factor; T-Lymphocytes, Cytotoxic; T-Lymphocytes, Cytotoxic; T-Lymphocytes, Cytotoxic; T-Lymphocytes, Cytotoxic",immunology; methods; metabolism; metabolism; None; None; cytology; metabolism; genetics; metabolism; None; immunology; None; None; None; None; immunology; None; None; None; None; genetics; metabolism; deficiency; genetics; None; metabolism; genetics; None; genetics; None; None; None; None; None; immunology; None; metabolism; genetics; None; metabolism; genetics; None; None; cytology; metabolism; immunology,10.1002/eji.200838995
10.1128/jvi.75.3.1205-1210.2001,H5N1 Avian Flu Research and the Ethics of Knowledge,2013-02-06,article,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Zoonotic diseases and public health; Viral gastroenteritis research and epidemiology,"Biochemistry, Genetics and Molecular Biology; Medicine; Medicine",Life Sciences; Health Sciences; Health Sciences,Value (mathematics); Research Ethics; Pandemic,Influenza A virus subtype H5N1; Political science; Government (linguistics); Value (mathematics); Research ethics; Engineering ethics; Pandemic; Environmental ethics; Public relations; Sociology; Coronavirus disease 2019 (COVID-19); Medicine; Virology; Engineering; Computer science; Philosophy; Linguistics; Virus; Disease; Pathology; Machine learning; Infectious disease (medical specialty),"Biomedical Research; Information Dissemination; Animals; Birds; Disease Outbreaks; Ethical Analysis; Humans; Influenza A Virus, H5N1 Subtype; Influenza in Birds; Influenza, Human; Knowledge; Observer Variation; Research Report",ethics; ethics; None; None; None; None; None; None; epidemiology; epidemiology; None; None; None,10.1002/hast.143
10.1128/jvi.75.3.1205-1210.2001,The Ethics of Synthetic Biology: <i>Next Steps and Prior Questions</i>,2014-11-01,letter,"Neuroethics, Human Enhancement, Biomedical Innovations",Cognitive Neuroscience,Life Sciences,"Neuroethics, Human Enhancement, Biomedical Innovations; Science, Research, and Medicine; Biomedical and Engineering Education",Neuroscience; Medicine; Engineering,Life Sciences; Health Sciences; Physical Sciences,Bioethics; Synthetic Biology,Bioethics; Commission; Synthetic biology; Engineering ethics; Political science; Sociology; Public relations; Law; Biology; Bioinformatics; Engineering,Biomedical Research; Biomedical Technology; Synthetic Biology; Biomedical Research; Biomedical Technology; Humans; Synthetic Biology,ethics; ethics; ethics; None; None; None; None,10.1002/hast.392
10.1128/jvi.75.3.1205-1210.2001,Consensus is needed at a global level concerning dual‐use research,2012-12-06,editorial,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Bacillus and Francisella bacterial research; Viral gastroenteritis research and epidemiology,"Medicine; Biochemistry, Genetics and Molecular Biology; Medicine",Health Sciences; Life Sciences; Health Sciences,Biosafety; Biosecurity; Pandemic; Highly pathogenic,Biosafety; Biosecurity; Influenza A virus subtype H5N1; Pandemic; Virology; Virus; Highly pathogenic; Political science; Biology; Coronavirus disease 2019 (COVID-19); Biotechnology; Medicine; Infectious disease (medical specialty); Ecology; Disease; Pathology,Biomedical Research; Bioterrorism; Consensus; International Cooperation; Biohazard Release; Biohazard Release; Biomedical Research; Biomedical Research; Bioterrorism; Bioterrorism; Bioterrorism; Humans; International Cooperation,legislation & jurisprudence; psychology; None; legislation & jurisprudence; prevention & control; None; organization & administration; None; legislation & jurisprudence; prevention & control; None; None; None,10.1002/rmv.1737
10.1128/jvi.75.3.1205-1210.2001,Cell‐mediated cytotoxicity in recovery from poxvirus infections,2003-06-17,review,Virus-based gene therapy research,Genetics,Life Sciences,Virus-based gene therapy research; Poxvirus research and outbreaks; Herpesvirus Infections and Treatments,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",Life Sciences; Life Sciences; Health Sciences,Ectromelia virus; Granzyme; Cytolysin; Orthopoxvirus; Poxviridae,Perforin; Ectromelia virus; Biology; Granzyme; Cytotoxic T cell; Virology; Cytolysin; Spleen; Orthopoxvirus; Poxviridae; Cytolysis; Vaccinia; Microbiology; Immunology; CD8; Immune system; Gene; Virulence; Genetics; In vitro; Recombinant DNA,"Cytotoxicity, Immunologic; Poxviridae Infections; Animals; Cowpox virus; Cowpox virus; Cowpox virus; Disease Models, Animal; Ectromelia virus; Ectromelia virus; Ectromelia virus; Exocytosis; Exocytosis; Granzymes; Membrane Glycoproteins; Membrane Glycoproteins; Membrane Glycoproteins; Membrane Glycoproteins; Mice; Mice, Inbred C57BL; Mice, Knockout; Models, Immunological; Perforin; Pore Forming Cytotoxic Proteins; Poxviridae Infections; Poxviridae Infections; Poxviridae Infections; Serine Endopeptidases; Serine Endopeptidases; Serine Endopeptidases; Serine Endopeptidases; T-Lymphocytes, Cytotoxic; T-Lymphocytes, Cytotoxic; Vaccinia virus; Vaccinia virus; Vaccinia virus; fas Receptor; fas Receptor",None; immunology; None; immunology; pathogenicity; None; None; immunology; None; pathogenicity; None; immunology; None; genetics; immunology; None; deficiency; None; None; None; None; None; None; enzymology; virology; None; immunology; genetics; deficiency; None; immunology; None; pathogenicity; immunology; None; None; immunology,10.1002/rmv.381
10.1128/jvi.75.3.1205-1210.2001,"Replication, Immunogenicity, and Protective Properties of Live-Attenuated Simian Immunodeficiency Viruses Expressing Interleukin-4 or Interferon-γ",2003-01-01,article,HIV Research and Treatment,Virology,Life Sciences,HIV Research and Treatment; Immune Cell Function and Interaction; T-cell and B-cell Immunology,Immunology and Microbiology; Immunology and Microbiology; Immunology and Microbiology,Life Sciences; Life Sciences; Life Sciences,Simian immunodeficiency virus; Viremia,Simian immunodeficiency virus; Biology; Virology; Viremia; Viral load; Immunogenicity; Interferon; Interleukin 4; Immune system; Viral replication; Immunology; Virus,"Interferon-gamma; Interleukin-4; SAIDS Vaccines; Virus Replication; Animals; Immunophenotyping; Interferon-gamma; Interleukin-4; Macaca mulatta; RNA, Messenger; RNA, Messenger; SAIDS Vaccines; Simian Acquired Immunodeficiency Syndrome; Simian Acquired Immunodeficiency Syndrome; Simian Acquired Immunodeficiency Syndrome; Simian Immunodeficiency Virus; Simian Immunodeficiency Virus; Vaccination; Vaccines, Attenuated; Vaccines, Attenuated; Viral Load",genetics; genetics; immunology; None; None; None; None; None; None; analysis; None; None; prevention & control; virology; None; physiology; None; None; immunology; None; None,10.1006/viro.2002.1763
10.1128/jvi.75.3.1205-1210.2001,Smallpox as a Weapon for Bioterrorism,2006-05-27,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Poxvirus research and outbreaks; Viral gastroenteritis research and epidemiology,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",Life Sciences; Life Sciences; Health Sciences,Biological Warfare,Smallpox; Virology; Medical emergency; Medicine; Biological warfare; Computer security; Computer science; Political science; Vaccination; Law,,,10.1007/0-387-23685-6_5
10.1128/jvi.75.3.1205-1210.2001,Biotechnology and the Public Health Response to Bioterrorism,2007-05-25,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Poxvirus research and outbreaks; Zoonotic diseases and public health,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",Life Sciences; Life Sciences; Health Sciences,Biological Warfare; Bacillus anthracis,Biological warfare; Bacillus anthracis; Public health; Terrorism; Political science; Environmental health; Criminology; Law; Medicine; Biology; Sociology; Genetics; Nursing; Bacteria,,,10.1007/0-387-28159-2_1
10.1128/jvi.75.3.1205-1210.2001,Critical Aspects of Biotechnology in Relation to Proliferation,2006-03-01,book-chapter,Genetically Modified Organisms Research,Plant Science,Life Sciences,Genetically Modified Organisms Research; CRISPR and Genetic Engineering; Biotechnology and Related Fields,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Life Sciences; Health Sciences,,Relation (database); Biotechnology; Biology; Computer science; Data mining,,,10.1007/1-4020-2098-8_4
10.1128/jvi.75.3.1205-1210.2001,Some recent challenges to openness and freedom in scientific publication,2007-02-04,book-chapter,Academic Publishing and Open Access,Information Systems and Management,Social Sciences,Academic Publishing and Open Access,Decision Sciences,Social Sciences,Openness to experience,Openness to experience; Engineering ethics; Political science; Psychology; Engineering; Social psychology,,,10.1007/1-4020-3180-7_10
10.1128/jvi.75.3.1205-1210.2001,Biological Weapons Convention,2006-08-05,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Genetically Modified Organisms Research; Identification and Quantification in Food,"Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,,Convention; Computer security; Political science; Aeronautics; Law; Computer science; Engineering,,,10.1007/3-540-33854-3_6
10.1128/jvi.75.3.1205-1210.2001,Reverse Genetics-Based Methodology for Molecular Virology Study,2025-01-01,article,Animal Virus Infections Studies,Animal Science and Zoology,Life Sciences,Animal Virus Infections Studies; Viral gastroenteritis research and epidemiology; Bacteriophages and microbial interactions,Agricultural and Biological Sciences; Medicine; Environmental Science,Life Sciences; Health Sciences; Physical Sciences,Molecular virology,Virology; Computational biology; Biology; Molecular virology; Genetics; Virus,"DNA Viruses; Genome, Viral; Humans; RNA Viruses; RNA, Viral; Reverse Genetics; Virology; Virus Replication",genetics; None; None; genetics; genetics; methods; methods; None,10.1007/978-1-0716-4615-1_26
10.1128/jvi.75.3.1205-1210.2001,Managing Intelligence and Responding to Emerging Threats: The Case of Biosecurity,2014-01-01,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Influenza Virus Research Studies; Zoonotic diseases and public health,"Biochemistry, Genetics and Molecular Biology; Medicine; Medicine",Life Sciences; Health Sciences; Health Sciences,Biosecurity; Threat assessment,Biosecurity; Business; Terrorism; Computer security; Threat assessment; Risk management; National security; Public relations; Political science; Computer science; Ecology; Finance; Law; Biology,,,10.1007/978-1-349-67284-4_37
10.1128/jvi.75.3.1205-1210.2001,GENOMIC APPROACHES IN VIRUS DIAGNOSTICS A PERSONAL ASSESSMENT OF REALITIES WHEN FACED WITH VIRUSES IN A PLANT BIOSECURITY CONTEXT,2006-01-01,book-chapter,Plant Virus Research Studies,Plant Science,Life Sciences,Plant Virus Research Studies; Plant and Fungal Interactions Research; Bacteriophages and microbial interactions,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science",Life Sciences; Life Sciences; Physical Sciences,,Biology; Genome; Context (archaeology); Plant virus; Computational biology; Genetics; Virology; Virus; Gene; Paleontology,,,10.1007/978-1-4020-5298-9_6
10.1128/jvi.75.3.1205-1210.2001,Ethical Aspects of Nanomedicine: A Condensed Version of the EGE Opinion 21,2008-04-02,book-chapter,"Healthcare cost, quality, practices",General Health Professions,Health Sciences,"Healthcare cost, quality, practices; Neuroethics, Human Enhancement, Biomedical Innovations",Health Professions; Neuroscience,Health Sciences; Life Sciences,,Nanomedicine; Materials science; Polymer science; Nanotechnology; Nanoparticle,,,10.1007/978-1-4020-6209-4_10
10.1128/jvi.75.3.1205-1210.2001,Armed Conflict and Value Conflict: Case Studies in Biological Weapons,2008-03-21,book-chapter,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,"Bacillus and Francisella bacterial research; Science, Research, and Medicine; Neuroethics, Human Enhancement, Biomedical Innovations","Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience",Life Sciences; Health Sciences; Life Sciences,Biological Warfare; Promotion (chess); Publication; Value (mathematics),Dilemma; Biological warfare; Context (archaeology); Government (linguistics); Political science; Dual (grammatical number); Promotion (chess); Public relations; Publication; Value (mathematics); Law and economics; Engineering ethics; Law; Sociology; Engineering; Politics; Computer science; Epistemology; Biology; Paleontology; Philosophy; Linguistics; Machine learning; Art; Literature,,,10.1007/978-1-4020-6912-3_11
10.1128/jvi.75.3.1205-1210.2001,Ethics and the Dual-Use Dilemma in the Life Sciences,2008-03-21,book-chapter,Poxvirus research and outbreaks,Virology,Life Sciences,Poxvirus research and outbreaks; Viral Infections and Outbreaks Research; SARS-CoV-2 and COVID-19 Research,Immunology and Microbiology; Medicine; Medicine,Life Sciences; Health Sciences; Health Sciences,Dignity; Ethical dilemma,Dilemma; Context (archaeology); Harm; Dignity; Political science; Ethical dilemma; Public relations; Environmental ethics; Law and economics; Engineering ethics; Sociology; Law; Epistemology; Biology; Philosophy; Engineering; Paleontology,,,10.1007/978-1-4020-6912-3_12
10.1128/jvi.75.3.1205-1210.2001,Ethical and Philosophical Consideration of the Dual-Use Dilemma in the Biological Sciences,2008-01-01,article,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Zoonotic diseases and public health,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences,Ethical dilemma,Dilemma; Context (archaeology); Harm; Engineering ethics; Ethical dilemma; Dual (grammatical number); Political science; Public relations; Epistemology; Law; Engineering; Paleontology; Philosophy; Biology; Art; Literature,Biomedical Research; Biological Warfare; Biomedical Research; Biomedical Research; Genetic Engineering; Genetic Engineering; Human Experimentation; Humans; Philosophy; Security Measures; United States,ethics; None; None; legislation & jurisprudence; None; ethics; None; None; None; None; None,10.1007/978-1-4020-8312-9
10.1128/jvi.75.3.1205-1210.2001,Smallpox as a Weapon for Bioterrorism,2009-01-01,book-chapter,Poxvirus research and outbreaks,Virology,Life Sciences,Poxvirus research and outbreaks; Bacillus and Francisella bacterial research; Viral Infections and Outbreaks Research,"Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Life Sciences; Health Sciences,Smallpox vaccine; Biological Warfare; Contagious disease; Pandemic,Smallpox; Smallpox vaccine; Biological warfare; Vaccinia; Vaccination; Public health; Medicine; Contagious disease; Terrorism; Disease; Pandemic; Virology; Political science; Infectious disease (medical specialty); Coronavirus disease 2019 (COVID-19); Law; Biology; Nursing; Biochemistry; Pathology; Gene; Recombinant DNA,,,10.1007/978-1-4419-1266-4_5
10.1128/jvi.75.3.1205-1210.2001,Plant Virus Gene Vectors: Biotechnology Applications in Agriculture and Medicine,2002-01-01,review,Plant Virus Research Studies,Plant Science,Life Sciences,Plant Virus Research Studies; Transgenic Plants and Applications; Plant tissue culture and regeneration,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,,Biology; Plant virus; Biotechnology; Genome; Tobacco mosaic virus; Vector (molecular biology); Virology; Gene; Virus; Genetically modified crops; Computational biology; DNA microarray; Genetics; Transgene; Gene expression; Recombinant DNA,Agriculture; Biotechnology; Genetic Vectors; Plant Viruses; Agriculture; Agriculture; Animals; Biotechnology; Biotechnology; Gene Transfer Techniques; Humans; Medicine; Medicine; Medicine; Plant Viruses; Transgenes,methods; methods; None; genetics; trends; None; None; trends; None; None; None; trends; methods; None; None; None,10.1007/978-1-4615-0721-5_4
10.1128/jvi.75.3.1205-1210.2001,"Orthopoxviruses: Variola, Vaccinia, Cowpox, and Monkeypox",2014-01-01,book-chapter,Poxvirus research and outbreaks,Virology,Life Sciences,Poxvirus research and outbreaks; Bacillus and Francisella bacterial research; Herpesvirus Infections and Treatments,"Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Life Sciences; Health Sciences,Orthopoxvirus; Monkeypox; Cowpox; Variola virus; Poxviridae; Cowpox virus; Smallpox virus; Smallpox vaccine,Orthopoxvirus; Smallpox; Monkeypox; Cowpox; Vaccinia; Variola virus; Virology; Poxviridae; Cowpox virus; Medicine; Smallpox virus; Virus; Smallpox vaccine; Vaccination; Biology; Biochemistry; Gene; Recombinant DNA,,,10.1007/978-1-4899-7448-8_21
