unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_unique_identifier
10.1787/a48858ef-fr,Framework for the anticipatory governance of emerging technologies,Working paper,2024-07-10,https://dx.doi.org/https://doi.org/10.1787/a48858ef-fr,,"Governance, Foresight (futures studies), Risk",fre,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology, economy, business and finance>economic sector>computing and information technology, science and technology>natural science>biology, science and technology>social sciences",10.1787/0b55736e-en
10.2777/591057,Towards sustainable transformation - Publications Office of the EU,Publication,2024-06-06,https://op.europa.eu/en/publication-detail/-/publication/cc16da62-2483-11ef-a195-01aa75ed71a1/language-en,,"Climate change adaptation, Doughnut (economic model), Climate resilience",eng,"environment, science and technology, environment>nature, health, environment>nature>ecosystem, science and technology>social sciences",10.1787/0b55736e-en
10.1787/ba2aaf7b-en,"OECD Agenda for Transformative Science, Technology and Innovation Policies",Working paper,2024-04-24,https://dx.doi.org/https://doi.org/10.1787/ba2aaf7b-en,,"Innovation, Governance, Policy",eng,"economy, business and finance, environment, science and technology, economy, business and finance>economy, education, science and technology>social sciences",10.1787/0b55736e-en
10.1787/0248ead5-en,Framework for Anticipatory Governance of Emerging Technologies,Working paper,2024-04-24,https://dx.doi.org/https://doi.org/10.1787/0248ead5-en,,"Governance, Technology governance, Innovation",eng,"science and technology>natural science, science and technology, society, health, science and technology>natural science>biology, science and technology>social sciences, society>values",10.1787/0b55736e-en
10.1787/a9919c66-en,Enhancing Rural Innovation in Canada,Publication,2024-03-19,https://dx.doi.org/https://doi.org/10.1787/a9919c66-en,,"Census geographic units of Canada, Innovation, Entrepreneurship",eng,"economy, business and finance, economy, business and finance>business information, economy, business and finance>business information>human resources, science and technology>social sciences, economy, business and finance>economy, science and technology, environment, economy, business and finance>business information>human resources>management, science and technology>social sciences>economics",10.1787/0b55736e-en
10.2760/141776,Addressing the regional dimension of open strategic autonomy and European green industrial policy,Publication,2024-03-06,https://publications.jrc.ec.europa.eu/repository/handle/JRC136428,"Economic and monetary Union, Environment and climate change, Innovation and growth","European Union, Renewable energy, Sustainability",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>energy and resource, environment, economy, business and finance>economy, science and technology, politics",10.1787/0b55736e-en
10.2777/459259,Research and innovation for climate neutrality by 2050 - Publications Office of the EU,Publication,2024-03-04,https://op.europa.eu/en/publication-detail/-/publication/5dee91d3-d9e8-11ee-b9d9-01aa75ed71a1/language-en,,"Climate change mitigation, Carbon dioxide removal, International Energy Agency",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>energy and resource, environment>nature, environment, science and technology, economy, business and finance>economic sector>transport, economy, business and finance>economy, science and technology>natural science>biology",10.1787/0b55736e-en
10.1787/fa5494aa-en,The Space Economy in Figures,Publication,2023-12-15,https://dx.doi.org/https://doi.org/10.1787/fa5494aa-en,,"Copernicus Programme, Small satellite, Satellite",eng,"economy, business and finance, environment, environment>natural resources, science and technology, weather, economy, business and finance>economy, environment>natural resources>water",10.1787/0b55736e-en
10.1787/b887f436-en,Unlocking co-creation for green innovation,Working paper,2023-12-04,https://dx.doi.org/https://doi.org/10.1787/b887f436-en,,"Innovation, Living lab, Laboratory",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology, environment, economy, business and finance>economy, economy, business and finance>economic sector>energy and resource, environment>climate change",10.1787/0b55736e-en
10.1787/dffb0747-en,Navigating green and digital transitions,Working paper,2023-11-30,https://dx.doi.org/https://doi.org/10.1787/dffb0747-en,,"Innovation, Governance, Policy",eng,"economy, business and finance, economy, business and finance>economic sector, politics, science and technology, economy, business and finance>economy, environment, economy, business and finance>economic sector>energy and resource, society, politics>government",10.1787/0b55736e-en
10.2777/777861,Study supporting the assessment of EU missions and the review of mission areas - Publications Office of the EU,Publication,2023-11-30,https://op.europa.eu/en/publication-detail/-/publication/4972c028-9004-11ee-8aa6-01aa75ed71a1/language-en/format-PDF,,"Theory of Change, Governance, Sustainable Development Goals",eng,"economy, business and finance, environment, economy, business and finance>economy, education, politics",10.1787/0b55736e-en
10.1787/b95c8396-en,Steering responses to climate change from the centre of government,Working paper,2023-10-27,https://dx.doi.org/https://doi.org/10.1787/b95c8396-en,,"Paris Agreement, Climate change adaptation, Climate resilience",eng,"economy, business and finance, environment, politics>government, politics>government>civil and public service, economy, business and finance>economy, politics",10.1787/0b55736e-en
10.1787/4889f5f2-en,Measuring governments’ R&D funding response to COVID-19,Working paper,2023-10-16,https://dx.doi.org/https://doi.org/10.1787/4889f5f2-en,,"COVID-19 pandemic, Data, World Health Organization",eng,"science and technology>natural science, education, health, science and technology, science and technology>natural science>biology, health>diseases and conditions",10.1787/0b55736e-en
10.2777/61143,Study supporting the assessment of EU missions and the review of mission areas - Publications Office of the EU,Publication,2023-09-15,https://op.europa.eu/en/publication-detail/-/publication/acf2c8ab-55ce-11ee-9220-01aa75ed71a1/language-en/format-PDF,,"Climate change adaptation, Climate change mitigation, Sustainability",eng,"environment>natural resources, environment>natural resources>water, environment, health>diseases and conditions, health",10.1787/0b55736e-en
10.1787/905fdc2c-en,Adapting (to) automation,Working paper,2023-09-12,https://dx.doi.org/https://doi.org/10.1787/905fdc2c-en,,"Economy, Road, International Transport Forum",eng,"disaster, accident and emergency incident, disaster, accident and emergency incident>emergency incident, economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>transport, labour, labour>employment, disaster, accident and emergency incident>emergency incident>transport incident, economy, business and finance>economic sector>transport>road transport, science and technology, education",10.1787/0b55736e-en
10.1787/a7167546-en,Measuring Innovation in Education 2023,Publication,2023-08-12,https://dx.doi.org/https://doi.org/10.1787/a7167546-en,,"Incentive, Innovation, Education",eng,"economy, business and finance, education>school, education>school>higher education, education, science and technology, economy, business and finance>economy, education>school>further education, education>school>higher education>university, science and technology>social sciences",10.1787/0b55736e-en
10.1787/a67b1a1c-en,"Harnessing ""New Space"" for Sustainable Growth of the Space Economy",Publication,2023-07-06,https://dx.doi.org/https://doi.org/10.1787/a67b1a1c-en,,"Private spaceflight, Commercial use of space, Sustainability",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>manufacturing and engineering, science and technology>social sciences, science and technology, economy, business and finance>economy, economy, business and finance>economic sector>manufacturing and engineering>aerospace, science and technology>social sciences>economics",10.1787/0b55736e-en
10.2760/669328,The geography of EU green and digital inventions and their knowledge sources - Publications Office of the EU,Publication,2023-06-28,https://op.europa.eu/en/publication-detail/-/publication/7c8ae967-162a-11ee-806b-01aa75ed71a1/language-en/format-PDF,,"Cloud computing, Artificial intelligence, Computing",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>social sciences, science and technology, economy, business and finance>economic sector>computing and information technology, economy, business and finance>economic sector>computing and information technology>software, science and technology>social sciences>information science",10.1787/0b55736e-en
10.1787/342b8564-en,OECD SME and Entrepreneurship Outlook 2023,Publication,2023-06-27,https://dx.doi.org/https://doi.org/10.1787/342b8564-en,,"Small and medium-sized enterprises, Inflation, Productivity",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economy, economy, business and finance>economic sector>computing and information technology, education, science and technology",10.1787/0b55736e-en
10.1787/ba068fa6-en,Engaging citizens in innovation policy,Working paper,2023-06-19,https://dx.doi.org/https://doi.org/10.1787/ba068fa6-en,,"Innovation, Citizen science, Policy",eng,"arts, culture and entertainment, economy, business and finance, economy, business and finance>economic sector, science and technology, politics, education, economy, business and finance>economic sector>transport, arts, culture and entertainment>culture",10.1787/0b55736e-en
10.3386/w31306,Creating and Connecting US and China Science: Chinese Diaspora and Returnee Researchers,Working paper,2023-06-05,https://www.nber.org/papers/w31306,,"Research, Citation, Science",eng,"arts, culture and entertainment, arts, culture and entertainment>culture, education>school, education>school>higher education, science and technology>natural science, education, science and technology, education>school>further education, education>school>higher education>university, science and technology>natural science>biology, arts, culture and entertainment>culture>language",10.1787/0b55736e-en
10.25646/12213.2,Infectious Epidemiological Yearbook of Notifiable Diseases for 2022,Clinical guidance,2024-07-18,http://edoc.rki.de/176904/11825.2,"Article, DDC 610, Fortlaufende Veröffentlichungen, Infektionsepidemiologische Jahrbücher, Open Access Set, Primus Set, textPublication","Notifiable disease, Antimicrobial resistance, Acinetobacter",ger,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.25646/12213.2
10.2903/j.efsa.2023.7786,Avian influenza overview September – December 2022,Publication,2022-12-20,https://www.efsa.europa.eu/en/efsajournal/pub/7786,,"Influenza A virus subtype H9N2, Health sciences, Health",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology, health, science and technology>natural science>biology>genetics",10.2903/j.efsa.2022.7415
10.2903/j.efsa.2022.7597,Avian influenza overview June – September 2022,Publication,2022-10-03,https://www.efsa.europa.eu/en/efsajournal/pub/7597,,"Avian influenza, Health, Health sciences",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",10.2903/j.efsa.2022.7415
10.2903/j.efsa.2022.7554,Annual report on surveillance for avian influenza in poultry and wild birds in Member States of the European Union in 2021,Publication,2022-09-15,https://www.efsa.europa.eu/en/efsajournal/pub/7554,,"Holarctic birds, Birds, Feathered dinosaurs",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>consumer goods, health, lifestyle and leisure, lifestyle and leisure>leisure, lifestyle and leisure>leisure>recreational activities, lifestyle and leisure>lifestyle, politics, politics>government policy, politics>government policy>regulatory of industry, economy, business and finance>economic sector>consumer goods>food, lifestyle and leisure>lifestyle>food and drink, politics>government policy>regulatory of industry>food and drink regulations, lifestyle and leisure>leisure>recreational activities>hunting, health>diseases and conditions",10.2903/j.efsa.2022.7415
10.2900/822726,Consolidated annual activity report 2022 - Publications Office of the EU,Publication,2023-07-05,https://op.europa.eu/en/publication-detail/-/publication/0d0457fa-1bab-11ee-806b-01aa75ed71a1/language-en/format-PDF,,"European Centre for Disease Prevention and Control, World Health Organization, Internal control",eng,"health>diseases and conditions, health>diseases and conditions>illness, health, politics",10.2900/852604
10.2900/852604,"Testing and detection of zoonotic influenza virus infections in humans in the EU/EEA, and occupational safety and health measures for those exposed at work : operational guidance.",Publication,2022-11-08,https://op.europa.eu/en/publication-detail/-/publication/d1cf32d2-5fe5-11ed-92ed-01aa75ed71a1/language-en/format-PDF,,"Avian influenza, Influenza, Influenza A virus subtype H3N2",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, health>diseases and conditions",10.2900/852604
10.25646/10143.2,Infectious Epidemiological Yearbook of Notifiable Diseases for 2021,Clinical guidance,2022-07-18,http://edoc.rki.de/176904/12259.2,"Article, DDC 610, Fortlaufende Veröffentlichungen, Infektionsepidemiologische Jahrbücher, Open Access Set, Primus Set, textPublication","Notifiable disease, Diseases and disorders, Medicine",ger,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.2903/j.efsa.2022.7289
10.2903/j.efsa.2022.7415,Avian influenza overview March – June 2022,Publication,2022-06-30,https://www.efsa.europa.eu/en/efsajournal/pub/7415,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease",10.2903/j.efsa.2022.7289
10.2903/j.efsa.2022.7289,Avian influenza overview December 2021 – March 2022,Publication,2022-04-04,https://www.efsa.europa.eu/en/efsajournal/pub/7289,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics",10.2903/j.efsa.2021.7108
10.2900/207223,Investigation protocol for potential human cases of avian influenza virus infection in the EU/EEA - Publications Office of the EU,Publication,2024-01-08,https://op.europa.eu/en/publication-detail/-/publication/3b4234a6-af6b-11ee-b164-01aa75ed71a1/language-en,,"Influenza, Zanamivir, Avian influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health",10.2900/207223
10.2861/620590,Innovative technologies shaping the 2040 battlefield.,Publication,2021-11-04,https://op.europa.eu/en/publication-detail/-/publication/aa142c6b-518d-11ec-91ac-01aa75ed71a1/language-en/format-PDF,,"Artificial intelligence, European Union, Anti-satellite weapon",eng,"economy, business and finance, economy, business and finance>economic sector, politics, politics>government, politics>government>defence, politics>government>defence>military equipment, conflicts, war and peace, conflicts, war and peace>armed conflict, science and technology, economy, business and finance>economic sector>computing and information technology, politics>government>defence>military equipment>military weaponry",10.2861/620590
10.2903/j.efsa.2019.5664,Avian influenza overview November 2018 – February 2019,Publication,2019-03-28,https://www.efsa.europa.eu/en/efsajournal/pub/5664,,"Avian influenza, Influenza A virus subtype H7N9, Influenza A virus subtype H5N1",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics, health>diseases and conditions, science and technology",10.2903/j.efsa.2016.4687
10.2903/j.efsa.2018.5573,Avian influenza overview August – November 2018,Publication,2018-12-20,https://www.efsa.europa.eu/en/efsajournal/pub/5573,,"Avian influenza, Influenza A virus subtype H5N1, Influenza A virus subtype H5N8",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics",10.2903/j.efsa.2016.4687
10.2903/j.efsa.2017.4991,Avian influenza,Publication,2017-10-16,https://www.efsa.europa.eu/en/efsajournal/pub/4991,,"Avian influenza, Poultry, Influenza A virus subtype H5N2",eng,"science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology, science and technology>natural science>biology>genetics, health",10.2903/j.efsa.2016.4687
10.2903/j.efsa.2017.4891,Assessment of listing and categorisation of animal diseases within the framework of the Animal Health Law (Regulation (EU) No 2016/429): low pathogenic avian influenza,Publication,2017-07-21,https://www.efsa.europa.eu/en/efsajournal/pub/4891,,"Infection, Zoonosis, Health sciences",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology, health>diseases and conditions>illness",10.2903/j.efsa.2016.4687
10.1017/s1474745615000701,"Bird Flu, the OIE, and National Regulation : The WTO's India–Agricultural Products Dispute",Publication,2016-08-10,https://openknowledge.worldbank.org/handle/10986/24871,,"Avian influenza, Influenza A virus subtype H5N1, Externality",eng,"economy, business and finance, health>diseases and conditions, health>diseases and conditions>communicable disease, health, politics, health>diseases and conditions>communicable disease>virus disease, economy, business and finance>economic sector, economy, business and finance>economic sector>agriculture",10.1017/s1474745615000701
10.2900/153940,"Assessment of infection control, hospital hygiene capacity and training needs in the European Union : 2014.",Publication,2017-10-03,https://op.europa.eu/en/publication-detail/-/publication/b902737a-a8b2-11e7-837e-01aa75ed71a1/language-en/format-PDF,,"Nursing, Hospital-acquired infection, European Union",eng,"education>teaching and learning, education, health, education>teaching and learning>examination",10.2900/31986
10.2900/31986,Measles and rubella elimination : communicating the importance of vaccination.,Publication,2015-02-23,https://op.europa.eu/en/publication-detail/-/publication/bb60076a-fd90-4121-97b2-7c64920ff066/language-en/format-PDF,,"Immunology, Health, Clinical medicine",eng,"health>diseases and conditions>illness, health>diseases and conditions, health",10.2900/31986
10.4060/i6209ru,"Drivers, dynamics and epidemiology of antimicrobial resistance in animal husbandry",Publication,2025-01-01,https://openknowledge.fao.org/handle/20.500.14283/i6209ru,"1 - Продукты знаний, Publicaciones, value chains","Antimicrobial resistance, Bacteria, Bacterial conjugation",rus,"health>diseases and conditions>communicable disease, health>health treatment, science and technology, science and technology>natural science, science and technology>natural science>biology, health, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>health treatment>medicine, health>diseases and conditions",10.4060/i4787e
10.1787/63c6c63f-fr,OECD-FAO Agricultural Outlook 2022-2031,Publication,2022-06-29,https://dx.doi.org/10.1787/63c6c63f-fr,,"Food and drink, Economy, Afrotropical realm",fre,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>consumer goods, lifestyle and leisure, lifestyle and leisure>lifestyle, lifestyle and leisure>lifestyle>food and drink, economy, business and finance>economic sector>agriculture, economy, business and finance>economic sector>consumer goods>food, health, science and technology",10.4060/i4787e
10.4060/cc0852en,Sustainable land management in rangeland and grasslands,Publication,2022-01-01,https://openknowledge.fao.org/handle/20.500.14283/CC0852EN,"1 - Продукты знаний, Publicaciones, value chains","Pastoralism, Rangeland, Grazing",eng,"economy, business and finance, economy, business and finance>economic sector, environment>natural resources, economy, business and finance>economic sector>agriculture, environment, environment>nature, environment>nature>ecosystem, environment>natural resources>water",10.4060/i4787e
10.4060/cb2913en,How to feed the world in times of pandemics and climate change?,Publication,2021-01-01,https://openknowledge.fao.org/handle/20.500.14283/CB2913EN,"1 - Продукты знаний, Publicaciones, value chains","Agriculture, Sustainability, Food and Agriculture Organization",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, lifestyle and leisure>lifestyle>food and drink, economy, business and finance>economic sector>agriculture, environment, environment>nature, lifestyle and leisure>lifestyle>food and drink>organic food",10.4060/i4787e
10.22617/tcs200336-2,Future of Regional Cooperation in Asia and the Pacific,Publication,2020-11-25,https://www.adb.org/publications/future-regional-cooperation-asia-and-pacific,,"Global value chain, Public good (economics), Foreign direct investment",eng,"economy, business and finance, science and technology>social sciences, economy, business and finance>economy, science and technology, health>diseases and conditions, health, politics, science and technology>social sciences>economics",10.4060/i4787e
10.4060/i4787e,The Second Report on the State of the World’s Animal Genetic Resources for Food and Agriculture,Publication,2015-01-01,https://openknowledge.fao.org/handle/20.500.14283/i4787e,"1 - Продукты знаний, Publicaciones, value chains","Environmental degradation, Meat, Genetic diversity",eng,"economy, business and finance>economic sector>agriculture, economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>consumer goods, lifestyle and leisure, lifestyle and leisure>lifestyle, lifestyle and leisure>lifestyle>food and drink, environment, economy, business and finance>economic sector>consumer goods>food",10.4060/i4787e
governmentofisrael-762db4a2a6d7775107be6817c6d55f2a,"Weekly Health Intelligence Summary, as of - 22.05.2025",Publication,False,https://www.gov.il/he/pages/hi-weekly-22052025,,,heb,,governmentofisrael-d3fe52a7cecca2b4b3ed1098a83c51da
