unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_doi
10.2772/76553,Opinion on synthetic biology I : definition.,Publication,2016-02-12,https://op.europa.eu/en/publication-detail/-/publication/4ee360d4-d3af-11e5-a4b5-01aa75ed71a1/language-en/format-PDF,,"Convention on Biological Diversity, Synthetic biology, Genetically modified organism",eng,"science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology",10.1002/bies.201000099
10.2861/31653,Making perfect life : European governance challenges in 21st century bio-engineering : final report.,Publication,2015-02-26,https://op.europa.eu/en/publication-detail/-/publication/1e592eb3-3a39-4d71-86c1-dbfcb286e721/language-en/format-PDF,,"Whole genome sequencing, Artificial intelligence, Synthetic biology",eng,"science and technology>natural science>biology, science and technology, health, science and technology>natural science>biology>genetics, science and technology>natural science, society",10.1002/bies.201000099
10.1787/9789264213562-en,Biosafety and the Environmental Uses of Micro-Organisms,Publication,2015-01-22,https://dx.doi.org/10.1787/9789264213562-en,,"Arbuscular mycorrhiza, Mycorrhiza, Rhizobia",eng,"science and technology>natural science>biology>genetics, science and technology>natural science, science and technology>natural science>biology, economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>chemicals, economy, business and finance>economic sector>agriculture, economy, business and finance>economic sector>chemicals>organic chemical, science and technology",10.1002/bies.201000099
10.2796/28465,"The ethics of research security and of security research : proceedings of the fifth meeting of the European Commission International Dialogue on Bioethics, Brussels, Belgium, 17 September 2013.",Publication,2014-10-14,https://op.europa.eu/en/publication-detail/-/publication/afb7e4cc-68bb-4067-a436-cc288c5dadc5/language-en/format-PDF,,"DNA profiling, Synthetic biology, Dual-use technology",eng,"crime, law and justice, crime, law and justice>judiciary, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, crime, law and justice>judiciary>court, crime, law and justice>crime",10.1007/s11948-011-9298-7
10.1002/14651858.cd015769,Therapeutics for treating mpox in humans,Clinical guidance,2023-03-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10012405/pdf,,"Mpox, Systematic review, Randomized controlled trial",eng,"science and technology>biomedical science, health>diseases and conditions, health>diseases and conditions>illness, science and technology>biomedical science>pharmacology, health, science and technology",10.3390/v9110320
10.2796/28465,"The ethics of research security and of security research : proceedings of the fifth meeting of the European Commission International Dialogue on Bioethics, Brussels, Belgium, 17 September 2013.",Publication,2014-10-14,https://op.europa.eu/en/publication-detail/-/publication/afb7e4cc-68bb-4067-a436-cc288c5dadc5/language-en/format-PDF,,"DNA profiling, Synthetic biology, Dual-use technology",eng,"crime, law and justice, crime, law and justice>judiciary, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, crime, law and justice>judiciary>court, crime, law and justice>crime",10.1007/s11569-009-0074-y
10.1002/14651858.cd004913.pub2,Vaccines for preventing smallpox,Clinical guidance,2007-07-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6532594/pdf,,"Clinical trial, Smallpox vaccine, Vaccinia",eng,"health>health treatment, health>diseases and conditions>communicable disease, health>health treatment>preventative medicine, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, health>health treatment>preventative medicine>vaccines",10.1086/323808
10.2760/47988,JRC horizon scanning on dual-use civil and military research.,Publication,2020-10-13,https://op.europa.eu/en/publication-detail/-/publication/75e1f46a-12a8-11eb-9a54-01aa75ed71a1/language-en/format-PDF,,"Kilopower, SpaceX Starlink, Nootropic",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology>natural science>biology, science and technology, conflicts, war and peace, economy, business and finance>economic sector>computing and information technology",10.3389/fbioe.2018.00021
10.2760/78635,Investigating the capabilities and the competitiveness of the EU vis-aÌ-vis its main competitors in developing civilian technologies with critical spillovers into the defence.,Publication,2020-04-08,https://op.europa.eu/en/publication-detail/-/publication/a5a592cf-7a08-11ea-b75f-01aa75ed71a1/language-en/format-PDF,,"Unmanned aerial vehicle, Patent, Engineering",eng,"politics, politics>government, politics>government>defence>military equipment, science and technology, conflicts, war and peace, politics>government>defence>military equipment>military weaponry, politics>government>defence",10.1007/s11948-014-9535-y
10.5281/zenodo.11629357,IPBES Invasive Alien Species Assessment: Full report,Publication,2024-02-23,https://zenodo.org/records/11629357,,"Natural environment, Littoral zone, Tundra",eng,"economy, business and finance, economy, business and finance>economic sector, environment>natural resources, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, environment>natural resources>water, environment, science and technology, economy, business and finance>economic sector>agriculture",10.1071/wr06167
10.5281/zenodo.11437851,"IPBES Invasive Alien Species Assessment: Chapter 5. Management; challenges, opportunities and lessons learned",Publication,2024-02-23,https://zenodo.org/records/11437851,,"European rabbit, Biology, African armyworm",eng,"economy, business and finance, economy, business and finance>economic sector, environment, science and technology, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>agriculture, environment>nature",10.1071/wr06167
10.5281/zenodo.3237373,The IPBES regional assessment report on biodiversity and ecosystem services for Asia and the Pacific,Publication,2018-03-24,https://zenodo.org/record/3237374,,"Biodiversity, Habitat destruction, Agriculture",eng,"economy, business and finance, economy, business and finance>economic sector, environment>natural resources, economy, business and finance>economic sector>agriculture, environment, environment>nature, environment>natural resources>water, environment>nature>ecosystem, environment>environmental pollution",10.1080/00450618.2014.882986
10.1787/9789264253018-en,"Safety Assessment of Transgenic Organisms in the Environment, Volume 5",Publication,2016-04-05,https://dx.doi.org/10.1787/9789264253018-en,,"Phagosome, Immune system, Bacterial adhesin",eng,"health, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology>natural science>biology>physiology, health>diseases and conditions",10.1051/ebr:2008001
10.2760/47988,JRC horizon scanning on dual-use civil and military research.,Publication,2020-10-13,https://op.europa.eu/en/publication-detail/-/publication/75e1f46a-12a8-11eb-9a54-01aa75ed71a1/language-en/format-PDF,,"SpaceX Starlink, Nootropic, Artificial intelligence",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology>natural science>biology, science and technology, conflicts, war and peace, economy, business and finance>economic sector>computing and information technology",10.1007/s11948-016-9774-1
10.2777/7491,Ethics for researchers : facilitating research excellence in FP7.,Publication,2015-07-01,https://op.europa.eu/en/publication-detail/-/publication/68d86ebd-332f-46c0-8474-49fd93ba098f/language-en/format-PDF,,"Research, Animal testing, Convention for the Protection of Human Rights and Dignity of the Human Being with regard to the Application of Biology and Medicine",eng,"science and technology>natural science, society, society>values, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, society>values>ethics",10.1007/s11948-008-9064-7
stateofnsw-64eaef4a3fc461bbbb54c70a875bba56,Mpox control guideline,Publication,2024-12-12,https://www.health.nsw.gov.au/Infectious/controlguideline/Documents/mpox-nsw-control-guideline.pdf,,"Mpox, Monkeypox virus, Infection",eng,"science and technology, science and technology>natural science, health>diseases and conditions, health>diseases and conditions>illness, health, science and technology>natural science>biology",10.1016/s1473-3099(03)00856-9
deptofhealthau-ddccff9ba43aa935bcc6acae9e9d4965,Mpox – CDNA National Guidelines for Public Health Units,Publication,2024-10-14,https://www.health.gov.au/resources/publications/mpox-cdna-national-guidelines-for-public-health-units?language=en,,"Mpox, Monkeypox virus, Infection",eng,"science and technology, science and technology>natural science, health>diseases and conditions, health>diseases and conditions>illness, health, science and technology>natural science>biology",10.1016/s1473-3099(03)00856-9
deptofhealthau-a8e84a587fa357b2c1324d4b0e830f12,Monkeypox virus infection – CDNA National Guidelines for Public Health Units,Publication,2022-12-22,https://www.health.gov.au/resources/publications/monkeypox-virus-infection-cdna-national-guidelines-for-public-health-units?language=en,,"Infection, Pathogen transmission, Infection prevention and control",eng,"science and technology>natural science, health>diseases and conditions, health>diseases and conditions>illness, health, science and technology, science and technology>natural science>biology",10.1016/s1473-3099(03)00856-9
deptofhealthau-b172c41caeb80fc8752d9896490da4f8,Monkeypox – Laboratory case definition,Publication,2022-10-05,https://www.health.gov.au/resources/publications/monkeypox-laboratory-case-definition?language=en,,"Monkeypox, Smallpox, Orthopoxvirus",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, science and technology>natural science>biology",10.1016/s1473-3099(03)00856-9
governmentofjamaica-4f139c1868dbf45100ec789f9bde0405,Monkeypox Epidemiological Surveillance Protocol,Publication,2022-07-06,https://www.moh.gov.jm/wp-content/uploads/2022/05/Monkeypox-Surveillance-Protocol-6-July-2022-V1.pdf,,"Monkeypox, Monkeypox virus, Orthopoxvirus",eng,"health>diseases and conditions>illness, health>diseases and conditions, health, health>diseases and conditions>communicable disease",10.1016/s1473-3099(03)00856-9
ecdc-5bc992b649bc634e1c64370e1d1b5a12,Risk assessment: Monkeypox multi-country outbreak,Publication,2022-05-23,https://www.ecdc.europa.eu/en/publications-data/risk-assessment-monkeypox-multi-country-outbreak,,"Public health, Monkeypox, Monkeypox virus",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1016/s1473-3099(03)00856-9
ministrukabinets-c3c92115d77861a0e6911c3bb753496a,Monkeypox multi-country outbreak,Publication,2022-05-23,https://www.zva.gov.lv/sites/default/files/inline-files/Monkeypox-multi-country-outbreak.pdf,,"Mpox, Isolation (health care), Personal protective equipment",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1016/s1473-3099(03)00856-9
who-33d8a89d3f0d52e5db1ee9de2e4989e6,"Weekly Epidemiological Record, 2020, vol. 96, 05/06 [‎full issue]‎",Publication,2021-02-05,https://apps.who.int/iris/handle/10665/339321,,"Monkeypox, Vaccinia, Orthopoxvirus",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, health",10.1016/s1473-3099(03)00856-9
who-9281e3292cca1e6dbbc5ba16c38215e4,Case report of laboratory-acquired vaccinia virus infection in India – Cas d’infection en laboratoire par le virus de la vaccine en Inde,Publication,2021-02-05,https://apps.who.int/iris/handle/10665/339331,,"Vaccinia, Smallpox vaccine, Cowpox",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",10.1016/s1473-3099(03)00856-9
ecdc-222eaf4309a3b2b0504f2a6caea942fb,"Rapid risk assessment: Monkeypox cases in the UK imported by travellers returning from Nigeria, 2018",Publication,2018-09-21,https://www.ecdc.europa.eu/en/publications-data/rapid-risk-assessment-monkeypox-cases-uk-imported-travellers-returning-nigeria,,"Monkeypox, Orthopoxvirus, Infection",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, health>diseases and conditions>illness, health>diseases and conditions>communicable disease",10.1016/s1473-3099(03)00856-9
robertkochde-073eb9af5da74ea08623636ade9938f3,Novel polyomaviruses in humans and non-human primates,Clinical guidance,2013-12-01,http://edoc.rki.de/176904/5366,"DDC 610, Dissertationen, DoctoralThesis, Open Access Set, Qualifikationsarbeiten, textPublication","Polyomaviridae, Merkel cell polyomavirus, Virus",ger,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.1016/s1473-3099(03)00856-9
federalregister-ff502783babf04eba3d31b6250c1aa46,"Possession, Use, and Transfer of Select Agents and Toxins; Biennial Review",Publication,2011-10-03,https://www.federalregister.gov/documents/2011/10/03/2011-25427/possession-use-and-transfer-of-select-agents-and-toxins-biennial-review,,"Medical specialties, Health, Biosafety",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health>diseases and conditions, science and technology>natural science>biology, health",10.1016/s1473-3099(03)00856-9
hcspfr-53ccf7780c87979d481340106c1bd42a,Emerging infectious diseases: status report and outlook,Publication,2011-06-22,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=212,,"Infection, Chikungunya, Emerging infectious disease",fre,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science",10.1016/s1473-3099(03)00856-9
hcspfr-641821cc421371d023cda035f54f80c7,Emerging infectious diseases: status report and outlook,Publication,2011-06-22,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=213,,"Public health, Antibiotic, Infection",fre,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science",10.1016/s1473-3099(03)00856-9
robertkochde-d99d5b0b0694afa38a7ebd26514c5fc5,Orthopoxviruses: Human Infections,Clinical guidance,2010-06-07,http://edoc.rki.de/176904/131,"Amtliche Bekanntmachungen/Kommissionsveröffentlichungen, Arbeitskreis Blut, DDC 610, Open Access Set, Primus Set, Report, textPublication","Vaccinia, Mpox, Smallpox",ger,"health>diseases and conditions, health, health>diseases and conditions>communicable disease, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.1016/s1473-3099(03)00856-9
govdeptsspain-6a65d5158fe575988448d01a9cc0d826,Health,Publication,2024-05-30,https://bibliotecavirtual.defensa.gob.es/BVMDefensa/en/catalogo_imagenes/grupo.do?path=351678,,"Antibiotic, Beta-lactam antibiotics, Cephalosporin",spa,"conflicts, war and peace, health, conflicts, war and peace>armed conflict, health>diseases and conditions>illness, health>diseases and conditions",10.3389/fpubh.2018.00241
hcspfr-e27030d460ed53ede172bdbe283519dc,"Prevention of the risks of transmission of the monkeypox virus by labile blood products, grafts and other elements of the human body",Publication,2022-06-09,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1217,,"Public health, Mpox, Infection",fre,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology, science and technology>natural science, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease",10.3389/fpubh.2018.00241
hcspfr-3b2aedeb81c0e4f769fb4238c597497a,"What to do in the event of a suspected, probable or confirmed case of Monkeypox virus infection",Publication,2022-05-24,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1212,,"Public health, Mpox, Quarantine",fre,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.3389/fpubh.2018.00241
cgiar-d6d6b5495b368d8dbb2c6fecda9c381f,Zoonoses (Project 1): Wildlife/domestic livestock interactions,Publication,2011-12-04,https://hdl.handle.net/10568/12457,"A systematic review of zoonoses transmission and livestock-wildlife interactions, CGIAR research centers, Former ILRI research programs, ILRI program on food safety and zoonoses, ILRI project reports, papers and documents, ILRI Research Themes, International Livestock Research Institute (ILRI)","Zoonosis, Simian immunodeficiency virus, Influenza A virus subtype H5N1",eng,"health, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease",10.1038/nrmicro1099
tabde-d5c66a1587b61e8b39c2be111b3a2c40,Synthetic Biology - the next level of biotechnology and genetic engineering,Publication,2015-12-01,http://www.tab-beim-bundestag.de/de/pdf/publikationen/berichte/TAB-Arbeitsbericht-ab164.pdf,,"Technology assessment, Biology, Photosynthesis",ger,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science>biology, science and technology, economy, business and finance>economic sector>chemicals, science and technology>natural science>biology>genetics, science and technology>natural science, environment, environment>natural resources",10.1038/nrmicro1927
ecdc-5bc992b649bc634e1c64370e1d1b5a12,Risk assessment: Monkeypox multi-country outbreak,Publication,2022-05-23,https://www.ecdc.europa.eu/en/publications-data/risk-assessment-monkeypox-multi-country-outbreak,,"Monkeypox, Monkeypox virus, Isolation (health care)",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.2217/17460913.2.1.17
ministrukabinets-c3c92115d77861a0e6911c3bb753496a,Monkeypox multi-country outbreak,Publication,2022-05-23,https://www.zva.gov.lv/sites/default/files/inline-files/Monkeypox-multi-country-outbreak.pdf,,"Mpox, Isolation (health care), Personal protective equipment",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.2217/17460913.2.1.17
10.4060/i4787e,World Livestock 2013 - Changing disease landscapes,Publication,2013-01-01,https://openknowledge.fao.org/handle/20.500.14283/i3440e,"1 - Продукты знаний, Publicaciones, value chains","Zoonosis, Influenza, Chen dynasty",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology",10.2217/17460913.2.1.17
robertkochde-d99d5b0b0694afa38a7ebd26514c5fc5,Orthopoxviruses: Human Infections,Clinical guidance,2010-06-07,http://edoc.rki.de/176904/131,"Amtliche Bekanntmachungen/Kommissionsveröffentlichungen, Arbeitskreis Blut, DDC 610, Open Access Set, Primus Set, Report, textPublication","Vaccinia, Mpox, Smallpox",ger,"health>diseases and conditions, health, health>diseases and conditions>communicable disease, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.2217/17460913.2.1.17
who-e48a1ed30f57e13e023cd29aba84561c,Eastern Mediterranean Health Journal,Publication,2019-08-29,https://apps.who.int/iris/handle/10665/326737,,"Health, Public health, Medicine",eng,"health>health treatment, health, health>diseases and conditions, science and technology, health>health treatment>preventative medicine, health>health treatment>medicine",10.1056/nejmra011223
who-1396342e1ed866b28eba7c590455da46,Scientific review of research on smallpox virus,Publication,2013-08-02,https://apps.who.int/iris/handle/10665/85634,,,eng,,10.1016/s0166-3542(02)00196-1
hcspfr-7ab63a1fe1ceae7a15b619994bb7010d,Smallpox control plan revised,Publication,2012-12-21,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=318,,"Vaccination, Smallpox, Vaccine",fre,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1016/s0166-3542(02)00196-1
